ext,status,name,size_or_detail,source
.docx,error,00000015.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000011.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000016.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000003.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000004.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000001.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000007.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000012.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000022.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000021.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000020.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000024.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000023.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000013.docx,,msx-13
.docx,error,00000009.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000010.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000032.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000018.docx,,msx-13
.docx,error,00000031.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000005.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000034.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000002.docx,HTTP Error 400: Bad Request,msx-13
.docx,error,00000006.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000008.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000036.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000037.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000039.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,bad-sha1,00000033.docx,,msx-13
.docx,error,00000025.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000014.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000029.docx,HTTP Error 400: Bad Request,msx-13
.docx,error,00000026.docx,HTTP Error 404: Not Found,msx-13
