path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\doc\000001-2.doc,.doc,true,false,2259,0,,,13,0,0,
testdata\web-samples\samples\doc\000001-3.doc,.doc,true,false,2259,0,,,13,0,0,
testdata\web-samples\samples\doc\000001-4.doc,.doc,true,false,2259,0,,,14,0,0,
testdata\web-samples\samples\doc\000001.doc,.doc,true,false,2259,0,,,13,0,0,
testdata\web-samples\samples\doc\000002-2.doc,.doc,true,false,3279,1,,,10,0,0,
testdata\web-samples\samples\doc\000002-3.doc,.doc,true,false,3279,1,,,9,0,0,
testdata\web-samples\samples\doc\000002-4.doc,.doc,true,false,3279,1,,,10,0,0,
testdata\web-samples\samples\doc\000002.doc,.doc,true,false,3279,1,,,10,0,0,
testdata\web-samples\samples\doc\000003-2.doc,.doc,true,false,2663,1,,,10,0,0,
testdata\web-samples\samples\doc\000003-3.doc,.doc,true,false,2663,1,,,9,0,0,
testdata\web-samples\samples\doc\000003-4.doc,.doc,true,false,2663,1,,,9,0,0,
testdata\web-samples\samples\doc\000003.doc,.doc,true,false,2663,1,,,8,0,0,
testdata\web-samples\samples\doc\000004-2.doc,.doc,true,false,13391,2,,,48,0,0,
testdata\web-samples\samples\doc\000004-3.doc,.doc,true,false,13391,2,,,46,0,0,
testdata\web-samples\samples\doc\000004-4.doc,.doc,true,false,13391,2,,,48,0,0,
testdata\web-samples\samples\doc\000004.doc,.doc,true,false,13391,2,,,47,0,0,
testdata\web-samples\samples\doc\000005-2.doc,.doc,true,false,15570,2,,,50,0,0,
testdata\web-samples\samples\doc\000005-3.doc,.doc,true,false,15570,2,,,54,0,0,
testdata\web-samples\samples\doc\000005-4.doc,.doc,true,false,15570,2,,,53,0,0,
testdata\web-samples\samples\doc\000005.doc,.doc,true,false,15570,2,,,48,0,0,
testdata\web-samples\samples\doc\000006-2.doc,.doc,true,false,10241,0,,,33,0,0,
testdata\web-samples\samples\doc\000006-3.doc,.doc,true,false,10241,0,,,34,0,0,
testdata\web-samples\samples\doc\000006-4.doc,.doc,true,false,10241,0,,,36,0,0,
testdata\web-samples\samples\doc\000006.doc,.doc,true,false,10241,0,,,37,0,0,
testdata\web-samples\samples\doc\000007-2.doc,.doc,true,false,19078,0,,,67,0,0,
testdata\web-samples\samples\doc\000007-3.doc,.doc,true,false,19078,0,,,69,0,0,
testdata\web-samples\samples\doc\000007.doc,.doc,true,false,19078,0,,,68,0,0,
testdata\web-samples\samples\doc\000100-2.doc,.doc,true,false,6535,1,,,24,0,0,
testdata\web-samples\samples\doc\000100-3.doc,.doc,true,false,6535,1,,,25,0,0,
testdata\web-samples\samples\doc\000100.doc,.doc,true,false,6535,1,,,24,0,0,
testdata\web-samples\samples\doc\000101-2.doc,.doc,true,false,38327,0,,,103,0,0,
testdata\web-samples\samples\doc\000101-3.doc,.doc,true,false,38327,0,,,101,0,0,
testdata\web-samples\samples\doc\000101.doc,.doc,true,false,38327,0,,,103,0,0,
testdata\web-samples\samples\doc\000111-2.doc,.doc,true,false,75062,1,,,276,0,0,
testdata\web-samples\samples\doc\000111-3.doc,.doc,true,false,75062,1,,,280,0,0,
testdata\web-samples\samples\doc\000111.doc,.doc,true,false,75062,1,,,276,0,0,
testdata\web-samples\samples\doc\000113-2.doc,.doc,true,false,59016,8,,,445,0,0,
testdata\web-samples\samples\doc\000113-3.doc,.doc,true,false,59016,8,,,439,0,0,
testdata\web-samples\samples\doc\000113.doc,.doc,true,false,59016,8,,,497,0,0,
testdata\web-samples\samples\doc\000114-2.doc,.doc,true,false,6472,0,,,22,0,0,
testdata\web-samples\samples\doc\000114.doc,.doc,true,false,6472,0,,,17,0,0,
testdata\web-samples\samples\doc\000116-2.doc,.doc,true,false,10169,9,,,58,0,0,
testdata\web-samples\samples\doc\000116.doc,.doc,true,false,10169,9,,,62,0,0,
testdata\web-samples\samples\doc\000118-2.doc,.doc,true,false,34068,0,,,468,0,0,
testdata\web-samples\samples\doc\000118.doc,.doc,true,false,34068,0,,,638,0,0,
testdata\web-samples\samples\doc\000119-2.doc,.doc,true,false,27355,0,,,152,0,0,
testdata\web-samples\samples\doc\000119.doc,.doc,true,false,27355,0,,,155,0,0,
testdata\web-samples\samples\doc\000120-2.doc,.doc,true,false,20174,0,,,80,0,0,
testdata\web-samples\samples\doc\000120.doc,.doc,true,false,20174,0,,,89,0,0,
testdata\web-samples\samples\doc\000121-2.doc,.doc,true,false,3361,0,,,35,0,0,
testdata\web-samples\samples\doc\000121.doc,.doc,true,false,3361,0,,,25,0,0,
testdata\web-samples\samples\doc\000122-2.doc,.doc,true,false,52685,2,,,262,0,0,
testdata\web-samples\samples\doc\000122.doc,.doc,true,false,52685,2,,,255,0,0,
testdata\web-samples\samples\doc\000124-2.doc,.doc,true,false,124804,21,,,632,0,0,
testdata\web-samples\samples\doc\000124.doc,.doc,true,false,124804,21,,,520,0,0,
testdata\web-samples\samples\doc\000125-2.doc,.doc,true,false,3906,0,,,19,0,0,
testdata\web-samples\samples\doc\000125.doc,.doc,true,false,3906,0,,,18,0,0,
testdata\web-samples\samples\doc\000126-2.doc,.doc,true,false,172332,0,,,714,0,0,
testdata\web-samples\samples\doc\000126.doc,.doc,true,false,172332,0,,,662,0,0,
