path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\doc\000001-2.doc,.doc,true,false,2259,0,,,14
testdata\web-samples\samples\doc\000001-3.doc,.doc,true,false,2259,0,,,12
testdata\web-samples\samples\doc\000001-4.doc,.doc,true,false,2259,0,,,13
testdata\web-samples\samples\doc\000001.doc,.doc,true,false,2259,0,,,11
testdata\web-samples\samples\doc\000002-2.doc,.doc,true,false,3279,1,,,9
testdata\web-samples\samples\doc\000002-3.doc,.doc,true,false,3279,1,,,10
testdata\web-samples\samples\doc\000002-4.doc,.doc,true,false,3279,1,,,10
testdata\web-samples\samples\doc\000002.doc,.doc,true,false,3279,1,,,9
testdata\web-samples\samples\doc\000003-2.doc,.doc,true,false,2663,1,,,10
testdata\web-samples\samples\doc\000003-3.doc,.doc,true,false,2663,1,,,8
testdata\web-samples\samples\doc\000003-4.doc,.doc,true,false,2663,1,,,7
testdata\web-samples\samples\doc\000003.doc,.doc,true,false,2663,1,,,9
testdata\web-samples\samples\doc\000004-2.doc,.doc,true,false,13391,2,,,48
testdata\web-samples\samples\doc\000004-3.doc,.doc,true,false,13391,2,,,55
testdata\web-samples\samples\doc\000004-4.doc,.doc,true,false,13391,2,,,73
testdata\web-samples\samples\doc\000004.doc,.doc,true,false,13391,2,,,63
testdata\web-samples\samples\doc\000005-2.doc,.doc,true,false,15570,2,,,65
testdata\web-samples\samples\doc\000005-3.doc,.doc,true,false,15570,2,,,73
testdata\web-samples\samples\doc\000005-4.doc,.doc,true,false,15570,2,,,57
testdata\web-samples\samples\doc\000005.doc,.doc,true,false,15570,2,,,53
testdata\web-samples\samples\doc\000006-2.doc,.doc,true,false,10241,0,,,31
testdata\web-samples\samples\doc\000006-3.doc,.doc,true,false,10241,0,,,37
testdata\web-samples\samples\doc\000006-4.doc,.doc,true,false,10241,0,,,33
testdata\web-samples\samples\doc\000006.doc,.doc,true,false,10241,0,,,35
testdata\web-samples\samples\doc\000007-2.doc,.doc,true,false,19078,0,,,74
testdata\web-samples\samples\doc\000007-3.doc,.doc,true,false,19078,0,,,71
testdata\web-samples\samples\doc\000007.doc,.doc,true,false,19078,0,,,72
testdata\web-samples\samples\doc\000100-2.doc,.doc,true,false,6535,1,,,26
testdata\web-samples\samples\doc\000100-3.doc,.doc,true,false,6535,1,,,27
testdata\web-samples\samples\doc\000100.doc,.doc,true,false,6535,1,,,29
testdata\web-samples\samples\doc\000101-2.doc,.doc,true,false,38327,0,,,113
testdata\web-samples\samples\doc\000101-3.doc,.doc,true,false,38327,0,,,108
testdata\web-samples\samples\doc\000101.doc,.doc,true,false,38327,0,,,102
testdata\web-samples\samples\doc\000111-2.doc,.doc,true,false,75062,1,,,290
testdata\web-samples\samples\doc\000111-3.doc,.doc,true,false,75062,1,,,287
testdata\web-samples\samples\doc\000111.doc,.doc,true,false,75062,1,,,334
testdata\web-samples\samples\doc\000113-2.doc,.doc,true,false,59016,8,,,499
testdata\web-samples\samples\doc\000113-3.doc,.doc,true,false,59016,8,,,455
testdata\web-samples\samples\doc\000113.doc,.doc,true,false,59016,8,,,450
testdata\web-samples\samples\doc\000114-2.doc,.doc,true,false,6472,0,,,13
testdata\web-samples\samples\doc\000114.doc,.doc,true,false,6472,0,,,20
testdata\web-samples\samples\doc\000116-2.doc,.doc,true,false,10169,9,,,58
testdata\web-samples\samples\doc\000116.doc,.doc,true,false,10169,9,,,60
testdata\web-samples\samples\doc\000118-2.doc,.doc,true,false,34068,0,,,422
testdata\web-samples\samples\doc\000118.doc,.doc,true,false,34068,0,,,447
testdata\web-samples\samples\doc\000119-2.doc,.doc,true,false,27355,0,,,96
testdata\web-samples\samples\doc\000119.doc,.doc,true,false,27355,0,,,88
testdata\web-samples\samples\doc\000120-2.doc,.doc,true,false,20174,0,,,61
testdata\web-samples\samples\doc\000120.doc,.doc,true,false,20174,0,,,64
testdata\web-samples\samples\doc\000121-2.doc,.doc,true,false,3361,0,,,11
testdata\web-samples\samples\doc\000121.doc,.doc,true,false,3361,0,,,10
testdata\web-samples\samples\doc\000122-2.doc,.doc,true,false,52685,2,,,181
testdata\web-samples\samples\doc\000122.doc,.doc,true,false,52685,2,,,182
testdata\web-samples\samples\doc\000124-2.doc,.doc,true,false,124804,21,,,423
testdata\web-samples\samples\doc\000124.doc,.doc,true,false,124804,21,,,420
testdata\web-samples\samples\doc\000125-2.doc,.doc,true,false,3906,0,,,12
testdata\web-samples\samples\doc\000125.doc,.doc,true,false,3906,0,,,13
testdata\web-samples\samples\doc\000126-2.doc,.doc,true,false,172332,0,,,583
testdata\web-samples\samples\doc\000126.doc,.doc,true,false,172332,0,,,597
testdata\web-samples\samples\doc\000127-2.doc,.doc,true,false,5063,0,,,19
testdata\web-samples\samples\doc\000127.doc,.doc,true,false,5063,0,,,16
testdata\web-samples\samples\doc\000128-2.doc,.doc,true,false,4659,0,,,8
testdata\web-samples\samples\doc\000128.doc,.doc,true,false,4659,0,,,8
testdata\web-samples\samples\doc\000130-2.doc,.doc,true,false,15381,5,,,57
testdata\web-samples\samples\doc\000130.doc,.doc,true,false,15381,5,,,65
testdata\web-samples\samples\doc\000131-2.doc,.doc,true,false,170360,0,,,626
testdata\web-samples\samples\doc\000131.doc,.doc,true,false,170360,0,,,603
testdata\web-samples\samples\doc\000132-2.doc,.doc,true,false,2633,0,,,35
testdata\web-samples\samples\doc\000132.doc,.doc,true,false,2633,0,,,38
testdata\web-samples\samples\doc\000139-2.doc,.doc,true,false,8504,0,,,25
testdata\web-samples\samples\doc\000139.doc,.doc,true,false,8504,0,,,24
testdata\web-samples\samples\doc\000144-2.doc,.doc,true,false,7219,0,,,17
testdata\web-samples\samples\doc\000144.doc,.doc,true,false,7219,0,,,22
testdata\web-samples\samples\doc\000148-2.doc,.doc,true,false,76250,0,,,432
testdata\web-samples\samples\doc\000148.doc,.doc,true,false,76250,0,,,443
testdata\web-samples\samples\doc\000151-2.doc,.doc,true,false,1239,0,,,10
testdata\web-samples\samples\doc\000151.doc,.doc,true,false,1239,0,,,3
testdata\web-samples\samples\doc\000154-2.doc,.doc,true,false,40999,1,,,91
testdata\web-samples\samples\doc\000154.doc,.doc,true,false,40999,1,,,93
testdata\web-samples\samples\doc\000156-2.doc,.doc,true,false,4331,1,,,8
testdata\web-samples\samples\doc\000156.doc,.doc,true,false,4331,1,,,21
testdata\web-samples\samples\doc\000158-2.doc,.doc,true,false,20517,0,,,53
testdata\web-samples\samples\doc\000158.doc,.doc,true,false,20517,0,,,48
testdata\web-samples\samples\doc\000248-2.doc,.doc,true,false,20306,2,,,228
testdata\web-samples\samples\doc\000248.doc,.doc,true,false,20306,2,,,221
testdata\web-samples\samples\doc\000249-2.doc,.doc,true,false,4938,1,,,15
testdata\web-samples\samples\doc\000249.doc,.doc,true,false,4938,1,,,14
testdata\web-samples\samples\doc\000250-2.doc,.doc,true,false,31227,0,,,87
testdata\web-samples\samples\doc\000250.doc,.doc,true,false,31227,0,,,93
testdata\web-samples\samples\doc\000253-2.doc,.doc,true,false,28370,0,,,100
testdata\web-samples\samples\doc\000253.doc,.doc,true,false,28370,0,,,94
testdata\web-samples\samples\doc\000254-2.doc,.doc,true,false,20597,0,,,93
testdata\web-samples\samples\doc\000254.doc,.doc,true,false,20597,0,,,95
testdata\web-samples\samples\doc\000255-2.doc,.doc,true,false,4121,0,,,22
testdata\web-samples\samples\doc\000255.doc,.doc,true,false,4121,0,,,20
testdata\web-samples\samples\doc\000256-2.doc,.doc,true,false,791,0,,,3
testdata\web-samples\samples\doc\000256.doc,.doc,true,false,791,0,,,2
testdata\web-samples\samples\doc\000259-2.doc,.doc,true,false,39699,1,,,117
testdata\web-samples\samples\doc\000259.doc,.doc,true,false,39699,1,,,122
testdata\web-samples\samples\doc\000260-2.doc,.doc,true,false,29742,1,,,93
testdata\web-samples\samples\doc\000260.doc,.doc,true,false,29742,1,,,86
testdata\web-samples\samples\doc\000261-2.doc,.doc,true,false,84108,21,,,228
testdata\web-samples\samples\doc\000261.doc,.doc,true,false,84108,21,,,231
testdata\web-samples\samples\doc\000264-2.doc,.doc,true,false,13845,0,,,54
