path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\docx\00000013.docx,.docx,true,false,2044,0,,,36
testdata\web-samples\samples\docx\00000018.docx,.docx,true,false,3833,0,,,10
testdata\web-samples\samples\docx\00000046.docx,.docx,true,false,5838,5,,,17
testdata\web-samples\samples\docx\00000064.docx,.docx,true,false,1014165,1,,,3751
testdata\web-samples\samples\docx\00000065.docx,.docx,true,false,3629,5,,,49
testdata\web-samples\samples\docx\00000074.docx,.docx,true,false,17483,0,,,36
testdata\web-samples\samples\docx\00000083.docx,.docx,true,false,206634,0,,,212
testdata\web-samples\samples\docx\00000093.docx,.docx,true,false,3550,0,,,18
testdata\web-samples\samples\docx\00000113.docx,.docx,true,false,4679,0,,,25
testdata\web-samples\samples\docx\00000123.docx,.docx,true,false,3383,0,,,10
testdata\web-samples\samples\docx\00000148.docx,.docx,true,false,2113,0,,,9
testdata\web-samples\samples\docx\00000155.docx,.docx,true,false,2334,1,,,19
testdata\web-samples\samples\docx\00000173.docx,.docx,true,false,1764,1,,,54
testdata\web-samples\samples\docx\00000177.docx,.docx,true,false,1253,2,,,51
testdata\web-samples\samples\docx\00000190.docx,.docx,true,false,950,7,,,18
testdata\web-samples\samples\docx\00000204.docx,.docx,true,false,1136,1,,,13
testdata\web-samples\samples\docx\00000212.docx,.docx,true,false,1003,0,,,8
testdata\web-samples\samples\docx\00000230.docx,.docx,true,false,455771,21,,,1505
testdata\web-samples\samples\docx\00000231.docx,.docx,true,false,8752,0,,,17
testdata\web-samples\samples\docx\00000232.docx,.docx,true,false,6202,0,,,25
testdata\web-samples\samples\docx\00000235.docx,.docx,true,false,5222,0,,,15
testdata\web-samples\samples\docx\00000240.docx,.docx,true,false,16238,0,,,83
testdata\web-samples\samples\docx\00000249.docx,.docx,true,false,33249,2,,,210
testdata\web-samples\samples\docx\00000281.docx,.docx,true,false,18214,0,,,41
testdata\web-samples\samples\docx\00000282.docx,.docx,true,false,633495,0,,,1181
testdata\web-samples\samples\docx\00000283.docx,.docx,true,false,7828,0,,,32
testdata\web-samples\samples\docx\00000284.docx,.docx,true,false,6132,2,,,24
testdata\web-samples\samples\docx\00000287.docx,.docx,true,false,20254,4,,,57
testdata\web-samples\samples\docx\00000288.docx,.docx,true,false,8549,10,,,34
testdata\web-samples\samples\docx\00000293.docx,.docx,true,false,229803,0,,,1289
testdata\web-samples\samples\docx\00000294.docx,.docx,true,false,5407,0,,,7
testdata\web-samples\samples\docx\00000299.docx,.docx,true,false,5036,0,,,19
testdata\web-samples\samples\docx\00000302.docx,.docx,true,false,817099,0,,,1205
testdata\web-samples\samples\docx\00000310.docx,.docx,true,false,456651,21,,,1588
testdata\web-samples\samples\docx\00000314.docx,.docx,true,false,9257,0,,,42
testdata\web-samples\samples\docx\00000319.docx,.docx,true,false,4735,0,,,15
testdata\web-samples\samples\docx\00000327.docx,.docx,true,false,5939,7,,,20
testdata\web-samples\samples\docx\00000328.docx,.docx,true,false,386094,0,,,739
testdata\web-samples\samples\docx\00000329.docx,.docx,true,false,19154,0,,,48
testdata\web-samples\samples\docx\00000332.docx,.docx,true,false,678423,0,,,1255
testdata\web-samples\samples\docx\00000339.docx,.docx,true,false,15123,0,,,78
testdata\web-samples\samples\docx\00000346.docx,.docx,true,false,12124,13,,,67
testdata\web-samples\samples\docx\00000371.docx,.docx,true,false,3831,0,,,24
testdata\web-samples\samples\docx\00000374.docx,.docx,true,false,5844,0,,,60
testdata\web-samples\samples\docx\00000375.docx,.docx,true,false,456689,21,,,1813
testdata\web-samples\samples\docx\00000376.docx,.docx,true,false,12406,0,,,19
testdata\web-samples\samples\docx\00000379.docx,.docx,true,false,7905,1,,,48
testdata\web-samples\samples\docx\00000382.docx,.docx,true,false,11490,0,,,41
testdata\web-samples\samples\docx\00000386.docx,.docx,true,false,10685,0,,,25
testdata\web-samples\samples\docx\00000387.docx,.docx,true,false,186361,1,,,309
testdata\web-samples\samples\docx\00000389.docx,.docx,true,false,23214,1,,,95
testdata\web-samples\samples\docx\00000390.docx,.docx,true,false,193007,0,,,406
testdata\web-samples\samples\docx\00000396.docx,.docx,true,false,5809,1,,,29
testdata\web-samples\samples\docx\00000400.docx,.docx,true,false,3955,0,,,6
testdata\web-samples\samples\docx\00000408.docx,.docx,true,false,3241,0,,,16
testdata\web-samples\samples\docx\00000409.docx,.docx,true,false,17973,0,,,92
testdata\web-samples\samples\docx\00000413.docx,.docx,true,false,5355,1,,,17
testdata\web-samples\samples\docx\00000415.docx,.docx,true,false,29999,0,,,142
testdata\web-samples\samples\docx\00000427.docx,.docx,true,false,2294,0,,,18
testdata\web-samples\samples\docx\00000437.docx,.docx,true,false,4918,0,,,20
testdata\web-samples\samples\docx\00000445.docx,.docx,true,false,9927,1,,,104
testdata\web-samples\samples\docx\00000465.docx,.docx,true,false,14040,0,,,47
testdata\web-samples\samples\docx\00000466.docx,.docx,true,false,24691,7,,,89
testdata\web-samples\samples\docx\00000467.docx,.docx,true,false,12865,1,,,65
testdata\web-samples\samples\docx\00000469.docx,.docx,true,false,10565,4,,,76
testdata\web-samples\samples\docx\00000470.docx,.docx,true,false,10738,5,,,80
testdata\web-samples\samples\docx\00000471.docx,.docx,true,false,29244,4,,,134
testdata\web-samples\samples\docx\00000490.docx,.docx,true,false,79463,2,,,449
testdata\web-samples\samples\docx\00000497.docx,.docx,true,false,5454,0,,,25
testdata\web-samples\samples\docx\00000516.docx,.docx,true,false,5095,11,,,35
testdata\web-samples\samples\docx\00000585.docx,.docx,true,false,772,0,,,21
testdata\web-samples\samples\docx\00000606.docx,.docx,true,false,3720,0,,,13
testdata\web-samples\samples\docx\00000628.docx,.docx,true,false,1260,0,,,15
testdata\web-samples\samples\docx\00000640.docx,.docx,true,false,7439,0,,,12
testdata\web-samples\samples\docx\00000657.docx,.docx,true,false,3733,0,,,12
testdata\web-samples\samples\docx\00000658.docx,.docx,true,false,245,0,,,6
testdata\web-samples\samples\docx\00000663.docx,.docx,true,false,4663,0,,,12
testdata\web-samples\samples\docx\00000667.docx,.docx,true,false,299,0,,,6
testdata\web-samples\samples\docx\00000668.docx,.docx,true,false,307,0,,,2
testdata\web-samples\samples\docx\00000677.docx,.docx,true,false,9363,18,,,273
testdata\web-samples\samples\docx\00000687.docx,.docx,true,false,10184,0,,,22
testdata\web-samples\samples\docx\00000688.docx,.docx,true,false,7789,0,,,12
testdata\web-samples\samples\docx\00000694.docx,.docx,true,false,113,0,,,3
testdata\web-samples\samples\docx\00000698.docx,.docx,true,false,205,0,,,3
testdata\web-samples\samples\docx\00000699.docx,.docx,true,false,5733,1,,,21
testdata\web-samples\samples\docx\00000700.docx,.docx,true,false,7218,0,,,30
testdata\web-samples\samples\docx\00000701.docx,.docx,true,false,2839,10,,,20
testdata\web-samples\samples\docx\00000714.docx,.docx,true,false,8842,0,,,48
testdata\web-samples\samples\docx\00000719.docx,.docx,true,false,664,0,,,6
testdata\web-samples\samples\docx\00000720.docx,.docx,true,false,1989,0,,,5
testdata\web-samples\samples\docx\00000721.docx,.docx,true,false,1395,0,,,2
testdata\web-samples\samples\docx\00000730.docx,.docx,true,false,2740,0,,,7
testdata\web-samples\samples\docx\00000731.docx,.docx,true,false,3216,0,,,5
testdata\web-samples\samples\docx\00000732.docx,.docx,true,false,9793,0,,,28
testdata\web-samples\samples\docx\00000734.docx,.docx,true,false,337,0,,,3
testdata\web-samples\samples\docx\00000745.docx,.docx,true,false,280,0,,,3
testdata\web-samples\samples\docx\00000746.docx,.docx,true,false,351,0,,,2
testdata\web-samples\samples\docx\00000759.docx,.docx,true,false,1457,0,,,7
testdata\web-samples\samples\docx\00000781.docx,.docx,true,false,1268,0,,,7
testdata\web-samples\samples\docx\00000810.docx,.docx,true,false,1208,0,,,4
testdata\web-samples\samples\docx\00000811.docx,.docx,true,false,1316,0,,,6
testdata\web-samples\samples\docx\00000812.docx,.docx,true,false,3098,0,,,12
testdata\web-samples\samples\docx\00000815.docx,.docx,true,false,567,0,,,6
testdata\web-samples\samples\docx\00000816.docx,.docx,true,false,893,0,,,8
testdata\web-samples\samples\docx\00000817.docx,.docx,true,false,1235,0,,,6
testdata\web-samples\samples\docx\00000825.docx,.docx,true,false,1685,0,,,8
testdata\web-samples\samples\docx\00000827.docx,.docx,true,false,3379,0,,,17
testdata\web-samples\samples\docx\00000867.docx,.docx,true,false,113171,6,,,857
testdata\web-samples\samples\docx\00000885.docx,.docx,true,false,69151,3,,,367
testdata\web-samples\samples\docx\00000886.docx,.docx,true,false,108350,6,,,960
testdata\web-samples\samples\docx\00000890.docx,.docx,true,false,3218,0,,,20
testdata\web-samples\samples\docx\00000894.docx,.docx,true,false,102213,5,,,930
testdata\web-samples\samples\docx\00000908.docx,.docx,true,false,1499,0,,,21
