path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\ppt\000008.ppt,.ppt,true,false,6786,2,,,27
testdata\web-samples\samples\ppt\000133.ppt,.ppt,true,false,4098,8,,,25
testdata\web-samples\samples\ppt\000134.ppt,.ppt,true,false,446,4,,,97
testdata\web-samples\samples\ppt\000160.ppt,.ppt,true,false,1500,24,,,14
testdata\web-samples\samples\ppt\000165.ppt,.ppt,true,false,4817,23,,,53
testdata\web-samples\samples\ppt\000167.ppt,.ppt,true,false,11237,7,,,44
testdata\web-samples\samples\ppt\000169.ppt,.ppt,true,false,4892,13,,,19
testdata\web-samples\samples\ppt\000174.ppt,.ppt,true,false,4351,2,,,19
testdata\web-samples\samples\ppt\000175.ppt,.ppt,true,false,8314,1,,,33
testdata\web-samples\samples\ppt\000181.ppt,.ppt,true,false,5019,6,,,44
testdata\web-samples\samples\ppt\000288.ppt,.ppt,true,false,11522,4,,,34
testdata\web-samples\samples\ppt\000289.ppt,.ppt,true,false,8776,25,,,37
testdata\web-samples\samples\ppt\000290.ppt,.ppt,true,false,2328,3,,,7
testdata\web-samples\samples\ppt\000291.ppt,.ppt,true,false,6844,14,,,93
testdata\web-samples\samples\ppt\000292.ppt,.ppt,true,false,3745,28,,,64
testdata\web-samples\samples\ppt\000293.ppt,.ppt,true,false,974,1,,,3
testdata\web-samples\samples\ppt\000294.ppt,.ppt,true,false,5005,1,,,9
testdata\web-samples\samples\ppt\000295.ppt,.ppt,true,false,1898,6,,,8
testdata\web-samples\samples\ppt\000296.ppt,.ppt,true,false,8036,1,,,53
testdata\web-samples\samples\ppt\000297.ppt,.ppt,true,false,12848,1,,,33
testdata\web-samples\samples\ppt\000298.ppt,.ppt,true,false,9973,36,,,111
testdata\web-samples\samples\ppt\000299.ppt,.ppt,true,false,17449,6,,,80
testdata\web-samples\samples\ppt\000300.ppt,.ppt,true,false,950,4,,,5
testdata\web-samples\samples\ppt\000301.ppt,.ppt,true,false,3666,3,,,12
testdata\web-samples\samples\ppt\000302.ppt,.ppt,true,false,4719,10,,,26
testdata\web-samples\samples\ppt\000303.ppt,.ppt,true,false,7097,14,,,38
testdata\web-samples\samples\ppt\000304.ppt,.ppt,true,false,10911,71,,,370
testdata\web-samples\samples\ppt\000305.ppt,.ppt,true,false,7676,6,,,113
testdata\web-samples\samples\ppt\000306.ppt,.ppt,true,false,8452,56,,,98
testdata\web-samples\samples\ppt\000307.ppt,.ppt,true,false,6029,25,,,25
testdata\web-samples\samples\ppt\000308.ppt,.ppt,true,false,20133,37,,,97
testdata\web-samples\samples\ppt\000309.ppt,.ppt,true,false,3776,46,,,78
testdata\web-samples\samples\ppt\000310.ppt,.ppt,true,false,14788,4,,,96
