path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\pptx\00020011.pptx,.pptx,true,false,5233,8,,,179
testdata\web-samples\samples\pptx\00020023.pptx,.pptx,true,false,4599,17,,,66
testdata\web-samples\samples\pptx\00020026.pptx,.pptx,true,false,9515,9,,,68
testdata\web-samples\samples\pptx\00020039.pptx,.pptx,true,false,16437,11,,,190
testdata\web-samples\samples\pptx\00020042.pptx,.pptx,true,false,4292,2,,,48
testdata\web-samples\samples\pptx\00020043.pptx,.pptx,true,false,3820,22,,,68
testdata\web-samples\samples\pptx\00020047.pptx,.pptx,true,false,3599,27,,,78
testdata\web-samples\samples\pptx\00020052.pptx,.pptx,true,false,3308,17,,,18
testdata\web-samples\samples\pptx\00020056.pptx,.pptx,true,false,3185,7,,,19
testdata\web-samples\samples\pptx\00020063.pptx,.pptx,true,false,3115,1,,,22
testdata\web-samples\samples\pptx\00020068.pptx,.pptx,true,false,3386,4,,,25
testdata\web-samples\samples\pptx\00020102.pptx,.pptx,true,false,9632,11,,,89
testdata\web-samples\samples\pptx\00020104.pptx,.pptx,true,false,18793,3,,,131
testdata\web-samples\samples\pptx\00020105.pptx,.pptx,true,false,35591,8,,,180
testdata\web-samples\samples\pptx\00020109.pptx,.pptx,true,false,18858,53,,,237
testdata\web-samples\samples\pptx\00020111.pptx,.pptx,true,false,8414,0,,,27
testdata\web-samples\samples\pptx\00020114.pptx,.pptx,true,false,20163,7,,,233
testdata\web-samples\samples\pptx\00020118.pptx,.pptx,true,false,5978,35,,,112
testdata\web-samples\samples\pptx\00020120.pptx,.pptx,true,false,11491,14,,,95
testdata\web-samples\samples\pptx\00020125.pptx,.pptx,true,false,5491,114,,,209
testdata\web-samples\samples\pptx\00020131.pptx,.pptx,true,false,7533,37,,,94
testdata\web-samples\samples\pptx\00020134.pptx,.pptx,true,false,5029,21,,,73
testdata\web-samples\samples\pptx\00020135.pptx,.pptx,true,false,4310,11,,,30
testdata\web-samples\samples\pptx\00020141.pptx,.pptx,true,false,7109,6,,,185
testdata\web-samples\samples\pptx\00020144.pptx,.pptx,true,false,7327,6,,,83
testdata\web-samples\samples\pptx\00020149.pptx,.pptx,true,false,21140,26,,,147
testdata\web-samples\samples\pptx\00020150.pptx,.pptx,true,false,6876,9,,,31
testdata\web-samples\samples\pptx\00020151.pptx,.pptx,true,false,24053,124,,,620
testdata\web-samples\samples\pptx\00020152.pptx,.pptx,true,false,17693,36,,,120
testdata\web-samples\samples\pptx\00020153.pptx,.pptx,true,false,7108,2,,,43
testdata\web-samples\samples\pptx\00020155.pptx,.pptx,true,false,8889,11,,,126
testdata\web-samples\samples\pptx\00020158.pptx,.pptx,true,false,15968,17,,,107
testdata\web-samples\samples\pptx\00020165.pptx,.pptx,true,false,12008,25,,,48
testdata\web-samples\samples\pptx\00020167.pptx,.pptx,true,false,15970,27,,,186
testdata\web-samples\samples\pptx\00020175.pptx,.pptx,true,false,12284,23,,,161
testdata\web-samples\samples\pptx\00020181.pptx,.pptx,true,false,10552,5,,,42
testdata\web-samples\samples\pptx\00020187.pptx,.pptx,true,false,10257,29,,,140
testdata\web-samples\samples\pptx\00020198.pptx,.pptx,true,false,17881,81,,,150
testdata\web-samples\samples\pptx\00020201.pptx,.pptx,true,false,25440,42,,,258
testdata\web-samples\samples\pptx\00020206.pptx,.pptx,true,false,4600,5,,,78
testdata\web-samples\samples\pptx\00020214.pptx,.pptx,true,false,3719,23,,,93
testdata\web-samples\samples\pptx\00020217.pptx,.pptx,true,false,12905,55,,,110
testdata\web-samples\samples\pptx\00020218.pptx,.pptx,true,false,21069,65,,,353
testdata\web-samples\samples\pptx\00020223.pptx,.pptx,true,false,12440,25,,,88
testdata\web-samples\samples\pptx\00020229.pptx,.pptx,true,false,12597,91,,,183
testdata\web-samples\samples\pptx\00020230.pptx,.pptx,true,false,15956,10,,,157
testdata\web-samples\samples\pptx\00020231.pptx,.pptx,true,false,6528,8,,,66
testdata\web-samples\samples\pptx\00020233.pptx,.pptx,true,false,5247,5,,,26
testdata\web-samples\samples\pptx\00020244.pptx,.pptx,true,false,7338,25,,,66
testdata\web-samples\samples\pptx\00020245.pptx,.pptx,true,false,3374,11,,,28
testdata\web-samples\samples\pptx\00020252.pptx,.pptx,true,false,3815,14,,,39
testdata\web-samples\samples\pptx\00020255.pptx,.pptx,true,false,4553,2,,,27
testdata\web-samples\samples\pptx\00020260.pptx,.pptx,true,false,6948,0,,,41
testdata\web-samples\samples\pptx\00020263.pptx,.pptx,true,false,11113,13,,,146
testdata\web-samples\samples\pptx\00020265.pptx,.pptx,true,false,21652,32,,,308
testdata\web-samples\samples\pptx\00020273.pptx,.pptx,true,false,19566,5,,,218
testdata\web-samples\samples\pptx\00020280.pptx,.pptx,true,false,14922,40,,,164
testdata\web-samples\samples\pptx\00020284.pptx,.pptx,true,false,3838,11,,,31
testdata\web-samples\samples\pptx\00020292.pptx,.pptx,true,false,13236,25,,,135
testdata\web-samples\samples\pptx\00020293.pptx,.pptx,true,false,9838,15,,,43
testdata\web-samples\samples\pptx\00020294.pptx,.pptx,true,false,5281,11,,,42
testdata\web-samples\samples\pptx\00020296.pptx,.pptx,true,false,10412,35,,,84
testdata\web-samples\samples\pptx\00020302.pptx,.pptx,true,false,46309,2,,,316
testdata\web-samples\samples\pptx\00020304.pptx,.pptx,true,false,9640,4,,,78
testdata\web-samples\samples\pptx\00020306.pptx,.pptx,true,false,5050,13,,,51
testdata\web-samples\samples\pptx\00020307.pptx,.pptx,true,false,5168,6,,,31
testdata\web-samples\samples\pptx\00020311.pptx,.pptx,true,false,6256,40,,,74
testdata\web-samples\samples\pptx\00020315.pptx,.pptx,true,false,7714,10,,,48
testdata\web-samples\samples\pptx\00020318.pptx,.pptx,true,false,4211,1,,,18
testdata\web-samples\samples\pptx\00020319.pptx,.pptx,true,false,26546,94,,,284
testdata\web-samples\samples\pptx\00020322.pptx,.pptx,true,false,2675,8,,,21
testdata\web-samples\samples\pptx\00020330.pptx,.pptx,true,false,2655,0,,,24
testdata\web-samples\samples\pptx\00020331.pptx,.pptx,true,false,3542,16,,,22
testdata\web-samples\samples\pptx\00020332.pptx,.pptx,true,false,2541,6,,,18
testdata\web-samples\samples\pptx\00020337.pptx,.pptx,true,false,3124,2,,,23
