path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\pptx\00020011.pptx,.pptx,true,false,5233,8,,,170
testdata\web-samples\samples\pptx\00020023.pptx,.pptx,true,false,4599,17,,,132
testdata\web-samples\samples\pptx\00020026.pptx,.pptx,true,false,9515,9,,,72
testdata\web-samples\samples\pptx\00020039.pptx,.pptx,true,false,16437,11,,,190
testdata\web-samples\samples\pptx\00020042.pptx,.pptx,true,false,4292,2,,,49
testdata\web-samples\samples\pptx\00020043.pptx,.pptx,true,false,3820,22,,,101
testdata\web-samples\samples\pptx\00020047.pptx,.pptx,true,false,3599,27,,,120
testdata\web-samples\samples\pptx\00020052.pptx,.pptx,true,false,3308,17,,,22
testdata\web-samples\samples\pptx\00020056.pptx,.pptx,true,false,3185,7,,,23
testdata\web-samples\samples\pptx\00020063.pptx,.pptx,true,false,3115,1,,,28
testdata\web-samples\samples\pptx\00020068.pptx,.pptx,true,false,3386,4,,,32
testdata\web-samples\samples\pptx\00020102.pptx,.pptx,true,false,9632,11,,,137
testdata\web-samples\samples\pptx\00020104.pptx,.pptx,true,false,18793,3,,,194
testdata\web-samples\samples\pptx\00020105.pptx,.pptx,true,false,35591,8,,,212
testdata\web-samples\samples\pptx\00020109.pptx,.pptx,true,false,18858,53,,,503
testdata\web-samples\samples\pptx\00020111.pptx,.pptx,true,false,8414,0,,,37
testdata\web-samples\samples\pptx\00020114.pptx,.pptx,true,false,20163,7,,,573
testdata\web-samples\samples\pptx\00020118.pptx,.pptx,true,false,5978,35,,,159
testdata\web-samples\samples\pptx\00020120.pptx,.pptx,true,false,11491,14,,,176
testdata\web-samples\samples\pptx\00020125.pptx,.pptx,true,false,5491,114,,,1024
testdata\web-samples\samples\pptx\00020131.pptx,.pptx,true,false,7533,37,,,191
testdata\web-samples\samples\pptx\00020134.pptx,.pptx,true,false,5029,21,,,164
testdata\web-samples\samples\pptx\00020135.pptx,.pptx,true,false,4310,11,,,54
testdata\web-samples\samples\pptx\00020141.pptx,.pptx,true,false,7109,6,,,275
testdata\web-samples\samples\pptx\00020144.pptx,.pptx,true,false,7327,6,,,135
testdata\web-samples\samples\pptx\00020149.pptx,.pptx,true,false,21140,26,,,352
testdata\web-samples\samples\pptx\00020150.pptx,.pptx,true,false,6876,9,,,58
testdata\web-samples\samples\pptx\00020151.pptx,.pptx,true,false,24053,124,,,1569
testdata\web-samples\samples\pptx\00020152.pptx,.pptx,true,false,17693,36,,,344
testdata\web-samples\samples\pptx\00020153.pptx,.pptx,true,false,7108,2,,,69
testdata\web-samples\samples\pptx\00020155.pptx,.pptx,true,false,8889,11,,,245
testdata\web-samples\samples\pptx\00020158.pptx,.pptx,true,false,15968,17,,,231
testdata\web-samples\samples\pptx\00020165.pptx,.pptx,true,false,12008,25,,,87
testdata\web-samples\samples\pptx\00020167.pptx,.pptx,true,false,15970,27,,,372
testdata\web-samples\samples\pptx\00020175.pptx,.pptx,true,false,12284,23,,,413
testdata\web-samples\samples\pptx\00020181.pptx,.pptx,true,false,10552,5,,,76
testdata\web-samples\samples\pptx\00020187.pptx,.pptx,true,false,10257,29,,,296
testdata\web-samples\samples\pptx\00020198.pptx,.pptx,true,false,17881,81,,,706
testdata\web-samples\samples\pptx\00020201.pptx,.pptx,true,false,25440,42,,,1192
testdata\web-samples\samples\pptx\00020206.pptx,.pptx,true,false,4600,5,,,154
testdata\web-samples\samples\pptx\00020214.pptx,.pptx,true,false,3719,23,,,182
testdata\web-samples\samples\pptx\00020217.pptx,.pptx,true,false,12905,55,,,368
testdata\web-samples\samples\pptx\00020218.pptx,.pptx,true,false,21069,65,,,788
testdata\web-samples\samples\pptx\00020223.pptx,.pptx,true,false,12440,25,,,193
testdata\web-samples\samples\pptx\00020229.pptx,.pptx,true,false,12597,91,,,447
testdata\web-samples\samples\pptx\00020230.pptx,.pptx,true,false,15956,10,,,479
testdata\web-samples\samples\pptx\00020231.pptx,.pptx,true,false,6528,8,,,157
testdata\web-samples\samples\pptx\00020233.pptx,.pptx,true,false,5247,5,,,48
testdata\web-samples\samples\pptx\00020244.pptx,.pptx,true,false,7338,25,,,142
testdata\web-samples\samples\pptx\00020245.pptx,.pptx,true,false,3374,11,,,56
testdata\web-samples\samples\pptx\00020252.pptx,.pptx,true,false,3815,14,,,66
testdata\web-samples\samples\pptx\00020255.pptx,.pptx,true,false,4553,2,,,30
testdata\web-samples\samples\pptx\00020260.pptx,.pptx,true,false,6948,0,,,62
testdata\web-samples\samples\pptx\00020263.pptx,.pptx,true,false,11113,13,,,411
testdata\web-samples\samples\pptx\00020265.pptx,.pptx,true,false,21652,32,,,999
testdata\web-samples\samples\pptx\00020273.pptx,.pptx,true,false,19566,5,,,610
testdata\web-samples\samples\pptx\00020280.pptx,.pptx,true,false,14922,40,,,418
testdata\web-samples\samples\pptx\00020284.pptx,.pptx,true,false,3838,11,,,47
testdata\web-samples\samples\pptx\00020292.pptx,.pptx,true,false,13236,25,,,284
testdata\web-samples\samples\pptx\00020293.pptx,.pptx,true,false,9838,15,,,79
