path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\doc\000001-2.doc,.doc,true,false,2218,0,,,30
testdata\web-samples\samples\doc\000001-3.doc,.doc,true,false,2218,0,,,34
testdata\web-samples\samples\doc\000001-4.doc,.doc,true,false,2218,0,,,36
testdata\web-samples\samples\doc\000001.doc,.doc,true,false,2218,0,,,32
testdata\web-samples\samples\doc\000002-2.doc,.doc,true,false,3373,1,,,48
testdata\web-samples\samples\doc\000002-3.doc,.doc,true,false,3373,1,,,48
testdata\web-samples\samples\doc\000002-4.doc,.doc,true,false,3373,1,,,51
testdata\web-samples\samples\doc\000002.doc,.doc,true,false,3373,1,,,48
testdata\web-samples\samples\doc\000003-2.doc,.doc,true,false,2662,1,,,39
testdata\web-samples\samples\doc\000003-3.doc,.doc,true,false,2662,1,,,38
testdata\web-samples\samples\doc\000003-4.doc,.doc,true,false,2662,1,,,37
testdata\web-samples\samples\doc\000003.doc,.doc,true,false,2662,1,,,37
testdata\web-samples\samples\doc\000004-2.doc,.doc,true,false,13383,2,,,200
testdata\web-samples\samples\doc\000004-3.doc,.doc,true,false,13383,2,,,188
testdata\web-samples\samples\doc\000004-4.doc,.doc,true,false,13383,2,,,186
testdata\web-samples\samples\doc\000004.doc,.doc,true,false,13383,2,,,186
testdata\web-samples\samples\doc\000005-2.doc,.doc,true,false,15564,2,,,221
testdata\web-samples\samples\doc\000005-3.doc,.doc,true,false,15564,2,,,215
testdata\web-samples\samples\doc\000005-4.doc,.doc,true,false,15564,2,,,223
testdata\web-samples\samples\doc\000005.doc,.doc,true,false,15564,2,,,223
testdata\web-samples\samples\doc\000006-2.doc,.doc,true,false,9875,0,,,133
testdata\web-samples\samples\doc\000006-3.doc,.doc,true,false,9875,0,,,135
testdata\web-samples\samples\doc\000006-4.doc,.doc,true,false,9875,0,,,139
testdata\web-samples\samples\doc\000006.doc,.doc,true,false,9875,0,,,141
testdata\web-samples\samples\doc\000007-2.doc,.doc,true,false,19078,0,,,299
testdata\web-samples\samples\doc\000007-3.doc,.doc,true,false,19078,0,,,346
testdata\web-samples\samples\doc\000007.doc,.doc,true,false,19078,0,,,331
testdata\web-samples\samples\doc\000100-2.doc,.doc,true,false,6535,1,,,98
testdata\web-samples\samples\doc\000100-3.doc,.doc,true,false,6535,1,,,113
testdata\web-samples\samples\doc\000100.doc,.doc,true,false,6535,1,,,106
testdata\web-samples\samples\doc\000101-2.doc,.doc,true,false,38326,0,,,566
testdata\web-samples\samples\doc\000101-3.doc,.doc,true,false,38326,0,,,603
testdata\web-samples\samples\doc\000101.doc,.doc,true,false,38326,0,,,645
testdata\web-samples\samples\doc\000111-2.doc,.doc,true,false,74849,1,,,824
testdata\web-samples\samples\doc\000111-3.doc,.doc,true,false,74849,1,,,816
testdata\web-samples\samples\doc\000111.doc,.doc,true,false,74849,1,,,809
testdata\web-samples\samples\doc\000113-2.doc,.doc,true,false,58024,8,,,1533
testdata\web-samples\samples\doc\000113-3.doc,.doc,true,false,58024,8,,,1625
testdata\web-samples\samples\doc\000113.doc,.doc,true,false,58024,8,,,1638
testdata\web-samples\samples\doc\000114-2.doc,.doc,true,false,6472,0,,,84
testdata\web-samples\samples\doc\000114.doc,.doc,true,false,6472,0,,,90
testdata\web-samples\samples\doc\000116-2.doc,.doc,true,false,8813,9,,,126
testdata\web-samples\samples\doc\000116.doc,.doc,true,false,8813,9,,,122
testdata\web-samples\samples\doc\000118-2.doc,.doc,true,false,33956,0,,,496
testdata\web-samples\samples\doc\000118.doc,.doc,true,false,33956,0,,,563
testdata\web-samples\samples\doc\000119-2.doc,.doc,true,false,27353,0,,,515
testdata\web-samples\samples\doc\000119.doc,.doc,true,false,27353,0,,,421
testdata\web-samples\samples\doc\000120-2.doc,.doc,true,false,20142,0,,,340
testdata\web-samples\samples\doc\000120.doc,.doc,true,false,20142,0,,,317
testdata\web-samples\samples\doc\000121-2.doc,.doc,true,false,3388,0,,,37
testdata\web-samples\samples\doc\000121.doc,.doc,true,false,3388,0,,,40
testdata\web-samples\samples\doc\000122-2.doc,.doc,true,false,52693,2,,,789
testdata\web-samples\samples\doc\000122.doc,.doc,true,false,52693,2,,,952
testdata\web-samples\samples\doc\000124-2.doc,.doc,true,false,124275,21,,,2312
testdata\web-samples\samples\doc\000124.doc,.doc,true,false,124275,21,,,2196
testdata\web-samples\samples\doc\000125-2.doc,.doc,true,false,626,0,,,10
testdata\web-samples\samples\doc\000125.doc,.doc,true,false,626,0,,,10
testdata\web-samples\samples\doc\000126-2.doc,.doc,true,false,172242,0,,,2818
testdata\web-samples\samples\doc\000126.doc,.doc,true,false,172242,0,,,2614
testdata\web-samples\samples\doc\000127-2.doc,.doc,true,false,5066,0,,,95
testdata\web-samples\samples\doc\000127.doc,.doc,true,false,5066,0,,,106
testdata\web-samples\samples\doc\000128-2.doc,.doc,true,false,4659,0,,,93
testdata\web-samples\samples\doc\000128.doc,.doc,true,false,4659,0,,,83
testdata\web-samples\samples\doc\000130-2.doc,.doc,true,false,15379,5,,,310
testdata\web-samples\samples\doc\000130.doc,.doc,true,false,15379,5,,,291
testdata\web-samples\samples\doc\000131-2.doc,.doc,true,false,170255,0,,,2657
testdata\web-samples\samples\doc\000131.doc,.doc,true,false,170255,0,,,2759
testdata\web-samples\samples\doc\000132-2.doc,.doc,true,false,2633,0,,,53
testdata\web-samples\samples\doc\000132.doc,.doc,true,false,2633,0,,,43
testdata\web-samples\samples\doc\000139-2.doc,.doc,true,false,8504,0,,,139
testdata\web-samples\samples\doc\000139.doc,.doc,true,false,8504,0,,,146
testdata\web-samples\samples\doc\000144-2.doc,.doc,true,false,7222,0,,,112
testdata\web-samples\samples\doc\000144.doc,.doc,true,false,7222,0,,,127
testdata\web-samples\samples\doc\000148-2.doc,.doc,true,false,66454,0,,,970
testdata\web-samples\samples\doc\000148.doc,.doc,true,false,66454,0,,,1113
testdata\web-samples\samples\doc\000151-2.doc,.doc,true,false,1239,0,,,25
testdata\web-samples\samples\doc\000151.doc,.doc,true,false,1239,0,,,17
testdata\web-samples\samples\doc\000154-2.doc,.doc,true,false,40997,1,,,524
testdata\web-samples\samples\doc\000154.doc,.doc,true,false,40997,1,,,550
testdata\web-samples\samples\doc\000156-2.doc,.doc,true,false,4331,1,,,71
testdata\web-samples\samples\doc\000156.doc,.doc,true,false,4331,1,,,86
testdata\web-samples\samples\doc\000158-2.doc,.doc,true,false,20517,0,,,324
testdata\web-samples\samples\doc\000158.doc,.doc,true,false,20517,0,,,322
testdata\web-samples\samples\doc\000248-2.doc,.doc,true,false,19718,0,,,333
testdata\web-samples\samples\doc\000248.doc,.doc,true,false,19718,0,,,327
testdata\web-samples\samples\doc\000249-2.doc,.doc,true,false,4938,1,,,93
testdata\web-samples\samples\doc\000249.doc,.doc,true,false,4938,1,,,85
testdata\web-samples\samples\doc\000250-2.doc,.doc,true,false,31121,0,,,470
testdata\web-samples\samples\doc\000250.doc,.doc,true,false,31121,0,,,454
testdata\web-samples\samples\doc\000253-2.doc,.doc,true,false,28368,0,,,479
testdata\web-samples\samples\doc\000253.doc,.doc,true,false,28368,0,,,414
testdata\web-samples\samples\doc\000254-2.doc,.doc,true,false,19632,0,,,357
testdata\web-samples\samples\doc\000254.doc,.doc,true,false,19632,0,,,307
testdata\web-samples\samples\doc\000255-2.doc,.doc,true,false,4268,0,,,76
testdata\web-samples\samples\doc\000255.doc,.doc,true,false,4268,0,,,83
testdata\web-samples\samples\doc\000256-2.doc,.doc,true,false,789,0,,,13
testdata\web-samples\samples\doc\000256.doc,.doc,true,false,789,0,,,13
testdata\web-samples\samples\doc\000259-2.doc,.doc,true,false,39664,1,,,616
testdata\web-samples\samples\doc\000259.doc,.doc,true,false,39664,1,,,607
testdata\web-samples\samples\doc\000260-2.doc,.doc,true,false,29729,1,,,529
testdata\web-samples\samples\doc\000260.doc,.doc,true,false,29729,1,,,519
testdata\web-samples\samples\doc\000261-2.doc,.doc,true,false,84059,21,,,1465
testdata\web-samples\samples\doc\000261.doc,.doc,true,false,84059,21,,,1374
