path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\xls\000030-2.xls,.xls,true,false,7000,0,,,111
testdata\web-samples\samples\xls\000030.xls,.xls,true,false,7000,0,,,110
testdata\web-samples\samples\xls\000031-2.xls,.xls,true,false,156094,0,,,185
testdata\web-samples\samples\xls\000031.xls,.xls,true,false,156094,0,,,212
testdata\web-samples\samples\xls\000033-2.xls,.xls,true,false,292857,0,,,473
testdata\web-samples\samples\xls\000033.xls,.xls,true,false,292857,0,,,468
testdata\web-samples\samples\xls\000034-2.xls,.xls,true,false,252845,0,,,5189
testdata\web-samples\samples\xls\000034.xls,.xls,true,false,252845,0,,,5710
testdata\web-samples\samples\xls\000035-2.xls,.xls,true,false,3054,0,,,4
testdata\web-samples\samples\xls\000035.xls,.xls,true,false,3054,0,,,4
testdata\web-samples\samples\xls\000036-2.xls,.xls,true,false,2294,0,,,5
testdata\web-samples\samples\xls\000036.xls,.xls,true,false,2294,0,,,5
testdata\web-samples\samples\xls\000037-2.xls,.xls,true,false,6739,0,,,66
testdata\web-samples\samples\xls\000037.xls,.xls,true,false,6739,0,,,62
testdata\web-samples\samples\xls\000038-2.xls,.xls,true,false,8427,0,,,8
testdata\web-samples\samples\xls\000038.xls,.xls,true,false,8427,0,,,6
testdata\web-samples\samples\xls\000040-2.xls,.xls,true,false,21535,0,,,11
testdata\web-samples\samples\xls\000040.xls,.xls,true,false,21535,0,,,12
testdata\web-samples\samples\xls\000041-2.xls,.xls,true,false,7017,0,,,6
testdata\web-samples\samples\xls\000041.xls,.xls,true,false,7017,0,,,7
testdata\web-samples\samples\xls\000042-2.xls,.xls,true,false,8855,0,,,11
testdata\web-samples\samples\xls\000042.xls,.xls,true,false,8855,0,,,13
testdata\web-samples\samples\xls\000043-2.xls,.xls,true,false,267020,0,,,2670
testdata\web-samples\samples\xls\000043.xls,.xls,true,false,267020,0,,,2422
testdata\web-samples\samples\xls\000044.xls,.xls,true,false,6730,0,,,18
testdata\web-samples\samples\xls\000045-2.xls,.xls,true,false,129807,0,,,314
testdata\web-samples\samples\xls\000045.xls,.xls,true,false,129807,0,,,334
testdata\web-samples\samples\xls\000046-2.xls,.xls,true,false,7295,0,,,14
testdata\web-samples\samples\xls\000046.xls,.xls,true,false,7295,0,,,12
testdata\web-samples\samples\xls\000047.xls,.xls,true,false,2192,0,,,63
testdata\web-samples\samples\xls\000048.xls,.xls,true,false,1778,0,,,63
testdata\web-samples\samples\xls\000049.xls,.xls,true,false,90412,0,,,417
testdata\web-samples\samples\xls\000050.xls,.xls,true,false,118840,0,,,418
testdata\web-samples\samples\xls\000051.xls,.xls,true,false,8549,0,,,104
testdata\web-samples\samples\xls\000052.xls,.xls,true,false,47498,0,,,167
testdata\web-samples\samples\xls\000053.xls,.xls,true,false,11117,0,,,111
testdata\web-samples\samples\xls\000054.xls,.xls,true,false,7177,1,,,8
testdata\web-samples\samples\xls\000055.xls,.xls,true,false,259779,0,,,5809
testdata\web-samples\samples\xls\000170.xls,.xls,true,false,8182,0,,,14
testdata\web-samples\samples\xls\000171.xls,.xls,true,false,3419,0,,,8
testdata\web-samples\samples\xls\000375.xls,.xls,true,false,7024,0,,,5
testdata\web-samples\samples\xls\000377.xls,.xls,true,false,7145,0,,,4
testdata\web-samples\samples\xls\000378.xls,.xls,true,false,1760,0,,,3
testdata\web-samples\samples\xls\000382.xls,.xls,true,false,21920,0,,,24
testdata\web-samples\samples\xls\000383.xls,.xls,true,false,13066,1,,,28
testdata\web-samples\samples\xls\000384.xls,.xls,true,false,7216,0,,,6
testdata\web-samples\samples\xls\000385.xls,.xls,true,false,2863,0,,,5
testdata\web-samples\samples\xls\000386.xls,.xls,true,false,6806,0,,,12
testdata\web-samples\samples\xls\000388.xls,.xls,true,false,6982,0,,,6
testdata\web-samples\samples\xls\000390.xls,.xls,true,false,2241,0,,,2
testdata\web-samples\samples\xls\000391.xls,.xls,true,false,7241,0,,,8
testdata\web-samples\samples\xls\000392.xls,.xls,true,false,3588,0,,,4
testdata\web-samples\samples\xls\000393.xls,.xls,true,false,7501,0,,,23
testdata\web-samples\samples\xls\000394.xls,.xls,true,false,2154,0,,,2
testdata\web-samples\samples\xls\000395.xls,.xls,true,false,13707,0,,,6
testdata\web-samples\samples\xls\000396.xls,.xls,true,false,11577,0,,,71
testdata\web-samples\samples\xls\000398.xls,.xls,true,false,5563,0,,,6
testdata\web-samples\samples\xls\000399.xls,.xls,true,false,8278,0,,,11
testdata\web-samples\samples\xls\000401.xls,.xls,true,false,6004,0,,,9
testdata\web-samples\samples\xls\000402.xls,.xls,true,false,1944,0,,,3
testdata\web-samples\samples\xls\000403.xls,.xls,true,false,4558,1,,,7
testdata\web-samples\samples\xls\000405.xls,.xls,true,false,171517,0,,,1077
testdata\web-samples\samples\xls\000406.xls,.xls,true,false,5216,0,,,4
