path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\xlsx\00010021.xlsx,.xlsx,true,false,2954,0,,,6,0,0,
testdata\web-samples\samples\xlsx\00010023.xlsx,.xlsx,true,false,2280,0,,,38,0,0,
testdata\web-samples\samples\xlsx\00010024.xlsx,.xlsx,true,false,130651,0,,,129,0,0,
testdata\web-samples\samples\xlsx\00010026.xlsx,.xlsx,true,false,1492,1,,,5,0,0,
testdata\web-samples\samples\xlsx\00010056.xlsx,.xlsx,true,false,1117842,0,,,113,0,0,
testdata\web-samples\samples\xlsx\00010101.xlsx,.xlsx,true,false,2684,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00010181.xlsx,.xlsx,true,false,5449,0,,,12,0,0,
testdata\web-samples\samples\xlsx\00010193.xlsx,.xlsx,true,false,13626,1,,,16,0,0,
testdata\web-samples\samples\xlsx\00010203.xlsx,.xlsx,true,false,4554,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00010250.xlsx,.xlsx,true,false,1971098,0,,,358,0,0,
testdata\web-samples\samples\xlsx\00010274.xlsx,.xlsx,true,false,5855,3,,,20,0,0,
testdata\web-samples\samples\xlsx\00010342.xlsx,.xlsx,true,false,3171,0,,,4,0,0,
testdata\web-samples\samples\xlsx\00010370.xlsx,.xlsx,true,false,221,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1064,0,0,
testdata\web-samples\samples\xlsx\00010403.xlsx,.xlsx,true,false,6260,0,,,6,0,0,
testdata\web-samples\samples\xlsx\00010407.xlsx,.xlsx,true,false,14521,0,,,12,0,0,
testdata\web-samples\samples\xlsx\00010411.xlsx,.xlsx,true,false,8823,0,,,28,0,0,
testdata\web-samples\samples\xlsx\00010449.xlsx,.xlsx,true,false,1586,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00010472.xlsx,.xlsx,true,false,114305,0,,,32,0,0,
testdata\web-samples\samples\xlsx\00010499.xlsx,.xlsx,true,false,30289,2,,,176,0,0,
testdata\web-samples\samples\xlsx\00010505.xlsx,.xlsx,true,false,1261,1,,,4,0,0,
testdata\web-samples\samples\xlsx\00010542.xlsx,.xlsx,true,false,946,1,,,3,0,0,
testdata\web-samples\samples\xlsx\00010568.xlsx,.xlsx,true,false,833,1,,,2,0,0,
testdata\web-samples\samples\xlsx\00010718.xlsx,.xlsx,true,false,1096321,0,,,365,0,0,
testdata\web-samples\samples\xlsx\00010734.xlsx,.xlsx,true,false,8943,0,,,30,0,0,
testdata\web-samples\samples\xlsx\00010756.xlsx,.xlsx,true,false,78157,0,,,25,0,0,
testdata\web-samples\samples\xlsx\00010827.xlsx,.xlsx,true,false,5686,2,,,27,0,0,
testdata\web-samples\samples\xlsx\00010855.xlsx,.xlsx,true,false,17566,1,,,7,0,0,
testdata\web-samples\samples\xlsx\00010899.xlsx,.xlsx,true,false,56233,0,,,22,0,0,
testdata\web-samples\samples\xlsx\00010909.xlsx,.xlsx,true,false,778,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00010969.xlsx,.xlsx,true,false,5781,0,,,1,0,0,
testdata\web-samples\samples\xlsx\00011008.xlsx,.xlsx,true,false,2021330,0,,,1532,0,0,
testdata\web-samples\samples\xlsx\00011093.xlsx,.xlsx,true,false,2036,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00011097.xlsx,.xlsx,true,false,4175,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00011099.xlsx,.xlsx,true,false,4533,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00011136.xlsx,.xlsx,true,false,46214,0,,,51,0,0,
testdata\web-samples\samples\xlsx\00011146.xlsx,.xlsx,true,false,24358,2,,,13,0,0,
testdata\web-samples\samples\xlsx\00011147.xlsx,.xlsx,true,false,19150,1,,,13,0,0,
testdata\web-samples\samples\xlsx\00011155.xlsx,.xlsx,true,false,6244,1,,,6,0,0,
testdata\web-samples\samples\xlsx\00011173.xlsx,.xlsx,true,false,8754,1,,,6,0,0,
testdata\web-samples\samples\xlsx\00011185.xlsx,.xlsx,true,false,7140,1,,,5,0,0,
testdata\web-samples\samples\xlsx\00011197.xlsx,.xlsx,true,false,6231,1,,,4,0,0,
testdata\web-samples\samples\xlsx\00011198.xlsx,.xlsx,true,false,4296,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00011257.xlsx,.xlsx,true,false,5201,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00011404.xlsx,.xlsx,true,false,706826,0,,,108,0,0,
testdata\web-samples\samples\xlsx\00011457.xlsx,.xlsx,true,false,324019,0,,,166,0,0,
testdata\web-samples\samples\xlsx\00011462.xlsx,.xlsx,true,false,337847,0,,,176,0,0,
testdata\web-samples\samples\xlsx\00011463.xlsx,.xlsx,true,false,730323,0,,,625,0,0,
testdata\web-samples\samples\xlsx\00011464.xlsx,.xlsx,true,false,740877,0,,,631,0,0,
testdata\web-samples\samples\xlsx\00011468.xlsx,.xlsx,true,false,6136,1,,,8,0,0,
testdata\web-samples\samples\xlsx\00011478.xlsx,.xlsx,true,false,332286,0,,,166,0,0,
testdata\web-samples\samples\xlsx\00011479.xlsx,.xlsx,true,false,745909,0,,,698,0,0,
testdata\web-samples\samples\xlsx\00011480.xlsx,.xlsx,true,false,166991,0,,,296,0,0,
testdata\web-samples\samples\xlsx\00011481.xlsx,.xlsx,true,false,167751,0,,,308,0,0,
testdata\web-samples\samples\xlsx\00011488.xlsx,.xlsx,true,false,3973,0,,,6,0,0,
testdata\web-samples\samples\xlsx\00011492.xlsx,.xlsx,true,false,157271,0,,,312,0,0,
testdata\web-samples\samples\xlsx\00011497.xlsx,.xlsx,true,false,165959,0,,,312,0,0,
testdata\web-samples\samples\xlsx\00011527.xlsx,.xlsx,true,false,36865,0,,,20,0,0,
testdata\web-samples\samples\xlsx\00011534.xlsx,.xlsx,true,false,8334,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00011538.xlsx,.xlsx,true,false,729042,0,,,678,0,0,
testdata\web-samples\samples\xlsx\00011543.xlsx,.xlsx,true,false,735863,0,,,677,0,0,
testdata\web-samples\samples\xlsx\00011544.xlsx,.xlsx,true,false,169296,0,,,314,0,0,
