path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1381
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5631
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2481
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541452,0,,,841
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,5403
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3132559,0,,,2324
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4019297,0,,,1967
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,2970
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4927808,0,,,2858
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4112264,0,,,2343
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,3366
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115630,0,,,2077
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5432023,0,,,2689
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302607,0,,,1524
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,4104
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,1001
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1066
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,539
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1099
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,25453
