path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452973,10,,,15810
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,757148,33,,,16918
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1580
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,6540
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1334115,0,,,798
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2765
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541452,0,,,1070
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,556
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,572
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2782542,0,,,633
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,3602
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2851876,1,,,393
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3132559,0,,,1047
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788732,0,,,227
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4019297,0,,,592
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,933
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4927808,0,,,765
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4112264,0,,,956
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,991
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115630,0,,,1009
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5432023,0,,,1050
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288057,0,,,393
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302607,0,,,507
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,875
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,302
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,294
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,185
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,312
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,354
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,9066
