path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3855,3848,3862,3848|3862
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2552,2544,2560,2560|2544
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2229,2222,2237,2237|2222
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5780,5707,5854,5854|5707
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2110,2079,2141,2141|2079
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2478,2459,2497,2459|2497
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1757,1730,1784,1784|1730
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1729,1712,1746,1712|1746
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1718,1711,1726,1726|1711
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1181,1158,1205,1158|1205
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2724,2592,2856,2592|2856
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,630,605,655,655|605
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,862,859,866,866|859
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,515,504,527,527|504
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1164,1123,1205,1205|1123
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1028,1027,1030,1030|1027
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1309,1254,1365,1254|1365
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1130,1085,1175,1175|1085
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1271,1239,1304,1239|1304
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1255,1234,1277,1234|1277
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2288,2146,2431,2431|2146
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,857,846,868,846|868
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,935,914,956,914|956
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1395,1237,1553,1553|1237
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,925,898,952,898|952
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1010,1005,1015,1005|1015
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,365,364,367,364|367
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1024,969,1080,1080|969
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1106,1067,1146,1067|1146
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4683,4415,4951,4951|4415
