path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5448,4377,5451,4377|5448|5451
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3258,3237,3301,3301|3237|3258
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2178,2115,2182,2182|2178|2115
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,6160,6054,6182,6054|6182|6160
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2166,2058,2321,2321|2166|2058
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2152,1853,2546,2546|2152|1853
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1280,1217,1701,1217|1280|1701
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1400,1381,1480,1480|1400|1381
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1457,1436,1543,1457|1543|1436
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1706,1667,1774,1774|1706|1667
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,4373,3211,4527,4373|4527|3211
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,837,837,865,837|837|865
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1224,1223,1242,1224|1242|1223
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,694,688,728,688|728|694
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1547,1417,1594,1417|1594|1547
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1434,1390,1518,1518|1434|1390
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1544,1520,1567,1544|1567|1520
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1293,1274,1325,1274|1325|1293
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1195,1150,1236,1195|1150|1236
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1139,1136,1169,1139|1136|1169
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2425,2277,2564,2564|2425|2277
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,852,846,992,852|846|992
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,958,941,977,941|958|977
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1442,1395,1508,1395|1442|1508
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,942,930,1054,1054|930|942
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,931,921,997,921|931|997
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,389,378,411,389|378|411
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,993,950,1007,993|1007|950
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,991,986,1058,986|991|1058
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,2992,2990,3245,3245|2990|2992
