path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4415,3965,4484,3965|4415|4484
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2709,2665,2906,2709|2665|2906
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2023,1798,2314,1798|2023|2314
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5195,5116,5402,5402|5195|5116
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1779,1673,1976,1673|1779|1976
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2308,2242,2626,2242|2308|2626
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1641,1632,1663,1641|1663|1632
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1428,1411,1491,1491|1411|1428
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1445,1411,1468,1468|1411|1445
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1635,1614,1641,1614|1641|1635
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,3193,3129,3407,3407|3193|3129
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,814,767,814,814|767|814
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1261,1231,1296,1261|1231|1296
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,659,653,678,659|678|653
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1327,1317,1380,1317|1327|1380
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1226,1209,1336,1226|1209|1336
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1597,1560,1797,1797|1560|1597
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1239,1206,1309,1239|1309|1206
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,969,953,1160,1160|969|953
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,948,929,989,929|948|989
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2480,2472,2554,2554|2480|2472
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,997,966,1021,1021|997|966
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1219,1207,1232,1232|1219|1207
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1695,1628,2614,1695|1628|2614
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,1121,1079,2380,2380|1079|1121
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1113,1061,1115,1113|1115|1061
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,426,416,442,442|426|416
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1148,1108,1159,1159|1148|1108
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1125,1114,1145,1114|1125|1145
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3909,3656,4301,4301|3909|3656
