path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata/web-samples/samples/xlsx/00010400.xlsx,.xlsx,true,false,2778014,0,,,2765,1260,4560,1260|2765|4560
testdata/web-samples/samples/xlsx/00012389.xlsx,.xlsx,true,false,11148655,0,,,2814,2721,3107,3107|2721|2814
testdata/web-samples/samples/xlsx/00012647.xlsx,.xlsx,true,false,2731103,1,,,713,708,761,761|713|708
testdata/web-samples/samples/xlsx/00013260.xlsx,.xlsx,true,false,3130923,0,,,1054,1026,1076,1026|1054|1076
testdata/web-samples/samples/xlsx/00013939.xlsx,.xlsx,true,false,3788530,0,,,608,605,623,605|623|608
testdata/web-samples/samples/xlsx/00014857.xlsx,.xlsx,true,false,4016789,0,,,1123,1116,1147,1123|1116|1147
testdata/web-samples/samples/xlsx/00014878.xlsx,.xlsx,true,false,9879551,0,,,1111,1098,1307,1111|1098|1307
testdata/web-samples/samples/xlsx/00014957.xlsx,.xlsx,true,false,4925019,0,,,1320,1298,1329,1329|1298|1320
testdata/web-samples/samples/xlsx/00014970.xlsx,.xlsx,true,false,4111885,0,,,1150,1092,1230,1230|1092|1150
testdata/web-samples/samples/xlsx/00014984.xlsx,.xlsx,true,false,8624718,0,,,1062,1023,1164,1164|1062|1023
testdata/web-samples/samples/xlsx/00014999.xlsx,.xlsx,true,false,4115251,0,,,1031,1027,1048,1048|1031|1027
testdata/web-samples/samples/xlsx/00017009.xlsx,.xlsx,true,false,5313775,0,,,2116,1991,2231,1991|2231|2116
testdata/web-samples/samples/xlsx/00017663.xlsx,.xlsx,true,false,3288008,0,,,795,788,830,830|795|788
testdata/web-samples/samples/xlsx/00018489.xlsx,.xlsx,true,false,4302221,0,,,965,959,971,971|965|959
testdata/web-samples/samples/xlsx/00019224.xlsx,.xlsx,true,false,8968495,0,,,1268,1227,1293,1268|1293|1227
testdata/web-samples/samples/xlsx/142143-2.xlsx,.xlsx,true,false,3506734,0,,,1008,951,1115,951|1008|1115
testdata/web-samples/samples/xlsx/142143.xlsx,.xlsx,true,false,3506734,0,,,958,958,980,980|958|958
testdata/web-samples/samples/xlsx/212946-2.xlsx,.xlsx,true,false,2902112,0,,,400,394,453,400|394|453
testdata/web-samples/samples/xlsx/219417-2.xlsx,.xlsx,true,false,3506734,0,,,1006,1006,1018,1018|1006|1006
testdata/web-samples/samples/xlsx/219417.xlsx,.xlsx,true,false,3506734,0,,,895,848,1009,1009|895|848
testdata/web-samples/samples/xlsx/apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3299,3299,3470,3470|3299|3299
