path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3939,3538,4049,3538|3939|4049
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2341,2320,2515,2320|2341|2515
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1603,1506,1682,1682|1506|1603
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4179,3893,4558,4179|4558|3893
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1592,1505,1611,1505|1592|1611
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1732,1683,1937,1683|1732|1937
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1156,1107,1245,1107|1245|1156
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1055,984,1065,1055|984|1065
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1003,990,1047,990|1003|1047
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1100,1043,1176,1176|1100|1043
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2537,2072,2806,2072|2537|2806
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,605,592,622,605|592|622
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,784,779,826,826|784|779
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,446,440,453,446|440|453
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,821,807,846,846|807|821
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,850,776,951,776|850|951
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,924,889,1031,924|889|1031
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,912,815,965,965|912|815
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,921,917,951,951|917|921
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,867,847,1016,867|1016|847
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1614,1554,1677,1554|1614|1677
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,580,576,632,580|576|632
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,735,709,786,786|735|709
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,949,932,1015,932|949|1015
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,751,715,794,715|751|794
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,743,701,762,762|743|701
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,279,273,279,273|279|279
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,699,694,787,699|787|694
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,690,690,695,695|690|690
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3162,2763,3306,3306|2763|3162
