path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4610,3813,4785,3813|4785|4610
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3198,2900,3249,2900|3198|3249
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1917,1876,1927,1927|1876|1917
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4301,3961,4449,4449|3961|4301
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1624,1482,1811,1811|1624|1482
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1770,1641,2027,1641|2027|1770
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1041,1027,1044,1044|1027|1041
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,934,923,956,923|956|934
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,909,900,912,912|909|900
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1029,1028,1065,1065|1028|1029
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,1946,1937,2028,1946|2028|1937
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,531,514,586,514|531|586
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,748,729,790,790|729|748
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,441,431,462,431|462|441
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,816,804,828,828|816|804
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,785,778,810,810|785|778
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,927,831,941,831|941|927
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,839,818,932,818|839|932
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,824,819,867,867|824|819
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,888,827,1035,827|888|1035
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1919,1644,1961,1919|1961|1644
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,595,568,748,748|568|595
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,770,721,775,721|770|775
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,943,916,1160,1160|943|916
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,677,670,731,731|677|670
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,692,680,835,692|680|835
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,298,293,312,312|298|293
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,696,680,760,760|680|696
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,821,728,858,728|858|821
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3115,3037,3117,3115|3117|3037
