path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3806,3627,4025,3627|4025|3806
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2367,2307,2566,2367|2307|2566
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1388,1351,1518,1518|1388|1351
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4358,3973,4372,3973|4358|4372
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1440,1426,1597,1597|1426|1440
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1809,1788,2105,1788|1809|2105
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1116,1093,1171,1116|1093|1171
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,951,922,1090,951|1090|922
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,914,899,965,965|899|914
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1042,1027,1046,1042|1046|1027
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2074,2034,2088,2074|2034|2088
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,564,518,642,564|518|642
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,898,827,999,898|999|827
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,482,480,484,480|484|482
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,846,798,857,846|798|857
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,760,757,810,810|757|760
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,880,875,901,901|875|880
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,982,914,985,985|914|982
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,874,824,924,874|824|924
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,889,846,960,889|846|960
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2019,2017,2151,2151|2019|2017
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,707,689,730,689|730|707
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1010,955,1055,955|1010|1055
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1318,1145,1350,1350|1145|1318
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,998,985,1015,998|1015|985
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,907,746,1039,1039|907|746
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,276,270,288,288|270|276
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,705,680,721,721|705|680
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,918,896,924,896|924|918
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3098,2825,3566,3566|2825|3098
