path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5305,3872,5334,3872|5305|5334
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3129,3026,3162,3129|3162|3026
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1391,1388,1942,1942|1388|1391
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4311,4254,4524,4254|4311|4524
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1873,1781,2074,1781|2074|1873
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2314,2060,2385,2060|2314|2385
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1276,1234,1367,1234|1276|1367
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1371,1196,1393,1393|1371|1196
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1034,934,1155,1155|934|1034
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1127,1046,1162,1162|1046|1127
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2085,1996,2135,2085|1996|2135
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,548,547,551,548|551|547
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,873,861,932,861|873|932
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,469,468,515,469|515|468
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,664,650,731,731|664|650
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,650,632,678,650|678|632
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,674,638,751,674|638|751
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,752,739,845,845|739|752
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,814,806,817,814|806|817
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,750,747,757,757|747|750
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1513,1394,1605,1605|1513|1394
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,379,376,389,389|379|376
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,757,744,809,809|757|744
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1115,1083,1189,1083|1115|1189
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,770,764,1044,1044|770|764
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,753,731,781,781|753|731
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,290,289,293,289|290|293
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,747,739,835,747|739|835
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,750,746,777,777|746|750
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,2517,2316,3090,3090|2517|2316
