path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1091,1062,1113,1113|1062|1091
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2088,1806,2240,2240|2088|1806
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,520,488,525,525|488|520
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,857,781,1048,781|857|1048
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,526,481,560,526|481|560
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,617,597,679,679|617|597
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,633,598,643,633|598|643
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,612,611,646,612|611|646
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,767,766,769,766|767|769
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,703,675,704,704|703|675
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,737,713,777,737|777|713
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1603,1463,1920,1463|1603|1920
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,501,438,542,501|542|438
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,733,676,948,948|733|676
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1093,1043,1120,1043|1120|1093
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,758,729,848,848|758|729
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,768,714,808,714|768|808
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,319,293,329,329|293|319
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,766,726,786,786|726|766
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,747,711,801,801|711|747
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,2561,2377,2759,2561|2377|2759
