path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3872,3607,3937,3607|3872|3937
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2618,2599,2619,2599|2619|2618
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1612,1538,1616,1612|1538|1616
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4455,3934,4531,4531|4455|3934
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1445,1408,1610,1408|1445|1610
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1799,1721,1801,1721|1799|1801
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1070,1062,1110,1070|1110|1062
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,960,951,991,991|960|951
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,995,963,1189,963|1189|995
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1218,1096,1233,1096|1218|1233
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2059,2007,2211,2211|2007|2059
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,572,525,577,577|525|572
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,846,837,846,846|846|837
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,586,539,611,611|539|586
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,919,893,1035,1035|919|893
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,889,813,1153,813|889|1153
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,925,883,998,998|883|925
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,819,818,863,818|863|819
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,860,824,914,914|824|860
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,927,925,946,925|946|927
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1638,1572,1742,1638|1742|1572
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,655,647,665,665|647|655
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,746,740,820,740|820|746
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,980,949,1033,980|949|1033
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,812,785,813,812|813|785
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,779,732,822,779|822|732
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,281,281,303,281|303|281
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,712,696,755,712|755|696
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,698,691,738,738|691|698
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,2880,2766,3335,3335|2766|2880
