path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4607,3848,5173,3848|4607|5173
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3185,3032,3261,3261|3185|3032
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2067,1880,2073,2067|2073|1880
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5240,5207,5331,5331|5240|5207
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1841,1781,1964,1781|1841|1964
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2256,2214,2263,2263|2256|2214
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1444,1405,1493,1493|1444|1405
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1307,1271,1322,1271|1307|1322
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1245,1224,1246,1246|1224|1245
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1442,1341,1470,1341|1470|1442
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2708,2616,2732,2708|2732|2616
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,753,728,789,728|753|789
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1113,1048,1135,1135|1048|1113
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,647,605,714,605|647|714
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1103,1094,1131,1094|1131|1103
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1039,1035,1114,1035|1114|1039
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1262,1238,1288,1238|1262|1288
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1131,1058,1158,1058|1158|1131
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1083,1059,1175,1059|1175|1083
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1085,982,1135,982|1085|1135
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2131,2126,2181,2131|2126|2181
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,845,810,849,845|810|849
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1036,1019,1038,1038|1019|1036
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1310,1274,1371,1371|1310|1274
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,908,891,964,908|891|964
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,987,980,1000,980|987|1000
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,385,378,401,385|401|378
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1002,967,1064,1064|1002|967
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,953,951,1016,951|953|1016
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3674,3672,3855,3855|3674|3672
