path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5022,3912,5148,3912|5022|5148
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3015,2938,3254,2938|3015|3254
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1708,1685,1959,1959|1708|1685
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4488,4116,4713,4488|4713|4116
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1400,1373,1436,1436|1400|1373
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1683,1665,1684,1683|1684|1665
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1097,1077,1100,1077|1100|1097
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,932,906,958,958|932|906
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,929,916,942,942|929|916
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1072,1020,1121,1121|1072|1020
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2033,2014,2112,2112|2033|2014
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,561,533,605,605|533|561
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,779,772,789,779|789|772
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,495,456,509,509|456|495
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,858,843,927,927|858|843
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,802,795,952,802|952|795
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,968,893,1046,893|968|1046
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,918,845,994,918|845|994
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,906,870,1007,1007|906|870
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,906,904,907,904|907|906
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1625,1610,1787,1625|1610|1787
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,812,772,816,772|812|816
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,823,818,908,908|818|823
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1053,961,1181,1181|961|1053
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,774,773,825,773|774|825
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,866,841,898,898|841|866
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,357,324,363,357|324|363
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,739,737,885,885|739|737
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,806,728,890,890|806|728
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3370,2970,3618,3618|3370|2970
