path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3784,3714,3870,3784|3714|3870
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2526,2492,2536,2526|2492|2536
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1744,1699,1768,1768|1699|1744
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4449,4422,4789,4789|4449|4422
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1574,1554,1591,1574|1554|1591
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1916,1801,1934,1801|1934|1916
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1230,1193,1235,1235|1193|1230
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1035,1013,1060,1060|1035|1013
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1020,1016,1025,1016|1020|1025
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1201,1183,1202,1202|1201|1183
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2269,2251,2297,2269|2297|2251
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,652,642,659,642|659|652
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,915,907,1054,915|907|1054
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,531,530,558,531|530|558
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1008,987,1030,1008|1030|987
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,890,863,921,921|863|890
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1151,1097,1156,1097|1151|1156
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,950,940,959,959|950|940
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,976,941,991,991|976|941
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,928,920,946,928|946|920
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1746,1708,1767,1746|1708|1767
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,711,675,715,675|715|711
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,861,855,863,863|855|861
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1124,1119,1141,1141|1124|1119
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,773,765,774,773|765|774
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,797,779,799,797|779|799
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,319,316,321,316|319|321
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,803,790,822,790|803|822
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,863,784,872,784|872|863
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,2856,2750,3044,3044|2750|2856
