path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4665,4013,5318,4013|5318
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3329,3327,3331,3327|3331
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2026,1762,2291,2291|1762
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4657,4644,4670,4670|4644
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1583,1572,1595,1595|1572
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1841,1823,1860,1860|1823
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1298,1290,1307,1290|1307
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1310,1302,1319,1319|1302
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1305,1305,1306,1305|1306
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1171,1148,1195,1195|1148
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2310,2189,2432,2432|2189
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,610,610,611,610|611
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,912,901,923,923|901
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,532,525,540,540|525
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,953,932,975,975|932
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,903,896,910,910|896
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1104,1098,1111,1098|1111
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,969,960,979,979|960
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1036,1023,1050,1023|1050
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,991,979,1003,979|1003
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1841,1830,1853,1853|1830
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,690,664,717,664|717
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,850,847,854,847|854
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1135,1132,1139,1132|1139
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,849,844,854,844|854
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,773,741,805,805|741
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,324,318,330,318|330
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,822,822,822,822|822
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,833,823,844,844|823
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3927,3792,4063,4063|3792
