path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3985,3959,4011,3959|4011
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2623,2614,2632,2632|2614
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1863,1825,1902,1825|1902
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4846,4839,4854,4839|4854
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1816,1729,1904,1729|1904
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2039,2030,2048,2048|2030
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1432,1318,1546,1546|1318
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1384,1376,1393,1393|1376
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1374,1362,1387,1387|1362
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1422,1275,1570,1275|1570
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,3184,2388,3981,3981|2388
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,793,757,829,757|829
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,966,966,966,966|966
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,554,543,566,566|543
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1073,1053,1094,1053|1094
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1015,1010,1020,1010|1020
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1154,1086,1222,1222|1086
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,959,941,977,941|977
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1052,1017,1088,1017|1088
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1021,1018,1025,1018|1025
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1910,1902,1918,1902|1918
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,738,723,753,723|753
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,887,884,890,884|890
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1143,1137,1150,1150|1137
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,851,843,859,859|843
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,806,760,853,760|853
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,325,309,341,309|341
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,834,789,880,880|789
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,806,803,809,809|803
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3975,3808,4142,4142|3808
