path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4870,4371,5370,4371|5370
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3158,2857,3460,3460|2857
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2248,2005,2491,2005|2491
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,6018,5968,6069,6069|5968
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1924,1833,2016,1833|2016
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2505,2301,2710,2710|2301
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1520,1374,1666,1374|1666
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1775,1728,1823,1728|1823
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1599,1514,1684,1684|1514
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1539,1519,1560,1519|1560
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2968,2707,3230,3230|2707
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,842,776,908,776|908
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1305,1270,1341,1270|1341
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,720,700,740,700|740
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1224,1133,1316,1316|1133
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1139,1076,1203,1076|1203
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1527,1370,1685,1370|1685
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1233,1222,1245,1245|1222
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1157,1130,1185,1185|1130
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1276,1256,1297,1297|1256
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2411,2396,2427,2396|2427
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,912,908,917,908|917
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1187,1132,1242,1132|1242
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1707,1650,1765,1765|1650
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,999,991,1007,991|1007
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1101,1005,1198,1005|1198
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,438,398,479,398|479
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1114,1076,1152,1152|1076
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1113,1021,1206,1206|1021
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4921,4816,5026,5026|4816
