path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3869,3860,3878,3878|3860
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2493,2460,2527,2527|2460
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1620,1600,1641,1641|1600
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4132,4051,4214,4051|4214
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1529,1523,1536,1536|1523
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1757,1743,1771,1743|1771
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1267,1228,1306,1228|1306
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1324,1300,1349,1300|1349
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1380,1296,1464,1296|1464
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778070,0,,,1262,1255,1269,1255|1269
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2213,2211,2216,2216|2211
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,591,584,598,598|584
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,866,862,871,862|871
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,540,539,542,539|542
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,982,982,983,982|983
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,875,870,881,870|881
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1123,1094,1152,1094|1152
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,960,935,985,935|985
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,985,971,1000,1000|971
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,985,973,997,973|997
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1807,1773,1841,1773|1841
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,718,710,727,727|710
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,863,844,883,883|844
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1022,1007,1037,1007|1037
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,865,840,891,840|891
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1445,1381,1510,1381|1510
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,416,390,442,442|390
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,821,787,855,855|787
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,801,789,813,813|789
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4058,3782,4335,3782|4335
