path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5414,5140,5689,5689|5140
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3243,3052,3434,3434|3052
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1640,1625,1655,1625|1655
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4405,4348,4463,4463|4348
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1673,1645,1702,1702|1645
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1835,1813,1857,1857|1813
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1230,1218,1242,1218|1242
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1313,1308,1318,1308|1318
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1299,1298,1300,1300|1298
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1224,1173,1275,1173|1275
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2512,2409,2616,2409|2616
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,643,605,681,605|681
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,864,834,895,895|834
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,626,567,686,686|567
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,964,945,984,984|945
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,883,872,895,895|872
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1968,1829,2107,1829|2107
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,878,877,880,877|880
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,966,938,995,938|995
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,977,938,1016,1016|938
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1800,1755,1846,1755|1846
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,726,725,728,728|725
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,852,828,877,877|828
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1051,1027,1076,1076|1027
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,756,750,763,750|763
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,780,775,786,775|786
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,334,322,347,322|347
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,820,814,826,826|814
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,796,789,803,789|803
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3850,3738,3963,3963|3738
