path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5321,4262,6380,4262|6380
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2685,2561,2810,2810|2561
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1724,1705,1743,1705|1743
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4400,4300,4501,4501|4300
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1654,1636,1672,1672|1636
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1827,1785,1869,1785|1869
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1259,1252,1267,1267|1252
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1308,1304,1312,1312|1304
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1302,1290,1314,1314|1290
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1217,1213,1221,1221|1213
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2394,2362,2426,2362|2426
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,642,640,645,645|640
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,887,882,892,882|892
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,567,563,571,571|563
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,917,893,941,941|893
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,811,807,816,807|816
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,982,976,989,976|989
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,963,947,979,947|979
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1017,1010,1024,1010|1024
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,969,958,981,958|981
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1912,1908,1916,1908|1916
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,699,699,700,699|700
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,817,803,832,832|803
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1024,996,1053,1053|996
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,808,796,821,821|796
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,803,758,848,758|848
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,351,347,355,347|355
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,863,854,872,872|854
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,868,853,883,853|883
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3825,3664,3987,3987|3664
