path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4053,3802,4304,3802|4304
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2897,2871,2924,2871|2924
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2445,2393,2497,2497|2393
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,6385,6192,6579,6579|6192
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2391,2364,2419,2364|2419
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2817,2791,2843,2791|2843
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1988,1923,2053,2053|1923
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1927,1924,1930,1924|1930
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,2039,1951,2127,2127|1951
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1405,1323,1488,1488|1323
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2665,2634,2696,2634|2696
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,699,688,711,711|688
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1180,1075,1285,1285|1075
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,747,666,828,828|666
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1496,1378,1614,1378|1614
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1288,1279,1297,1279|1297
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1474,1412,1536,1412|1536
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,2923,2283,3563,2283|3563
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,2094,1330,2858,2858|1330
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1291,1175,1407,1407|1175
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2541,2327,2756,2756|2327
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,888,853,923,853|923
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1030,940,1121,1121|940
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1439,1361,1518,1518|1361
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,908,889,927,927|889
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,813,813,814,813|814
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,328,325,332,325|332
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,854,825,883,883|825
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,793,779,808,779|808
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4345,4194,4496,4496|4194
