path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4623,4166,5080,4166|5080
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2910,2896,2924,2924|2896
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2537,2523,2552,2552|2523
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,6634,6540,6728,6728|6540
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2451,2350,2552,2552|2350
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2721,2633,2809,2809|2633
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,2015,1933,2098,1933|2098
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1925,1923,1927,1923|1927
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1983,1886,2081,1886|2081
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1466,1369,1563,1369|1563
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2833,2628,3038,3038|2628
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,738,705,771,705|771
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1012,959,1065,1065|959
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,568,564,573,573|564
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1122,1102,1142,1102|1142
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1047,1006,1088,1088|1006
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1360,1300,1420,1420|1300
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1173,1165,1182,1165|1182
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1298,1275,1322,1322|1275
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1110,1102,1119,1119|1102
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2297,2228,2367,2228|2367
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,932,922,943,943|922
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1108,1084,1133,1133|1084
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1550,1522,1579,1522|1579
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,991,982,1000,1000|982
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,912,905,920,920|905
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,372,360,384,384|360
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,893,892,894,894|892
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,951,948,954,948|954
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3989,3842,4136,4136|3842
