path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5262,4397,6128,4397|6128
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3550,3453,3648,3648|3453
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2511,2483,2539,2539|2483
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,6175,5948,6402,6402|5948
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2575,2130,3021,2130|3021
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2530,2380,2681,2380|2681
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1415,1395,1436,1436|1395
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1546,1513,1579,1513|1579
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1452,1249,1655,1655|1249
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1045,1036,1055,1036|1055
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2795,2763,2827,2763|2827
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,551,547,556,547|556
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,785,785,786,786|785
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,556,537,576,537|576
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1095,1066,1125,1066|1125
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,987,902,1072,1072|902
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,968,933,1003,933|1003
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1040,1031,1049,1049|1031
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1076,1069,1084,1084|1069
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1024,1016,1032,1032|1016
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2132,2098,2166,2166|2098
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,805,789,821,821|789
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,966,945,988,945|988
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1071,1051,1092,1092|1051
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,747,734,761,734|761
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,853,850,857,850|857
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,359,355,364,364|355
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,851,850,852,852|850
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,840,834,846,846|834
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4154,3941,4368,4368|3941
