path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4695,4017,5374,4017|5374
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3191,3132,3250,3250|3132
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1991,1984,1998,1984|1998
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4830,4528,5133,5133|4528
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1689,1629,1749,1749|1629
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1940,1917,1963,1917|1963
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1809,1715,1904,1904|1715
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1600,1563,1637,1637|1563
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1548,1542,1554,1542|1554
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1887,1711,2064,1711|2064
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2892,2808,2977,2977|2808
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,585,574,597,597|574
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,991,964,1019,1019|964
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,595,593,597,597|593
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1089,1077,1102,1077|1102
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1037,1027,1047,1047|1027
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1282,1198,1366,1198|1366
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,992,956,1028,1028|956
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,877,868,887,887|868
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,952,840,1064,840|1064
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1957,1887,2027,2027|1887
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,792,750,835,835|750
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1025,933,1118,1118|933
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1347,1343,1352,1343|1352
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,893,809,977,977|809
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,874,850,898,898|850
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,377,343,412,343|412
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1008,972,1044,1044|972
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,991,947,1035,1035|947
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4434,4285,4584,4584|4285
