path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3933,3762,3995,3762|3995|3933
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2545,2452,2644,2452|2644|2545
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1572,1529,1597,1572|1597|1529
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4256,3885,4428,4428|3885|4256
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1436,1426,1489,1426|1489|1436
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1723,1645,1808,1808|1645|1723
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1077,1073,1120,1120|1073|1077
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,970,941,982,982|970|941
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1029,955,1044,1044|1029|955
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1070,1041,1078,1078|1041|1070
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2250,2110,2500,2110|2500|2250
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,604,582,650,650|604|582
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,865,838,923,838|865|923
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,515,502,554,515|554|502
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,934,930,960,960|934|930
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,901,836,920,836|901|920
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1057,1012,1063,1057|1012|1063
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,860,851,954,954|860|851
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,881,844,982,982|844|881
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,888,850,985,888|850|985
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1757,1707,1792,1792|1707|1757
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,702,676,703,703|702|676
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,865,850,891,850|891|865
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1131,1105,1169,1131|1105|1169
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,779,773,783,779|773|783
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,811,752,882,752|882|811
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,331,325,371,371|331|325
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,742,718,809,718|742|809
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,840,828,981,828|840|981
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3630,3530,4375,4375|3630|3530
