path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3964,3947,3981,3947|3981
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2865,2606,3125,2606|3125
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1966,1949,1984,1984|1949
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4876,4765,4988,4988|4765
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1606,1601,1612,1612|1601
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1992,1933,2051,2051|1933
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1325,1299,1351,1351|1299
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1448,1406,1490,1406|1490
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1433,1393,1474,1393|1474
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1251,1204,1299,1299|1204
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2565,2396,2734,2734|2396
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,614,607,622,622|607
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,856,845,867,867|845
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,516,516,517,516|517
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,938,932,945,945|932
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,894,889,900,900|889
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1032,1023,1042,1042|1023
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1059,1048,1071,1071|1048
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1068,1019,1118,1118|1019
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,963,963,964,964|963
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1793,1773,1814,1773|1814
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,728,701,756,756|701
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,837,821,853,853|821
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1151,1142,1160,1142|1160
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,797,792,803,792|803
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,790,781,799,799|781
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,308,303,314,314|303
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,784,771,798,798|771
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,816,810,822,810|822
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3970,3823,4117,4117|3823
