path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3944,3852,4036,4036|3852
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2489,2478,2500,2478|2500
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1957,1873,2042,2042|1873
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5023,4715,5332,4715|5332
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1653,1619,1687,1687|1619
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1917,1883,1951,1951|1883
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1277,1270,1285,1285|1270
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1347,1268,1426,1426|1268
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1297,1296,1298,1298|1296
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1178,1176,1181,1181|1176
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2460,2455,2465,2455|2465
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,675,670,680,670|680
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,937,933,941,933|941
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,554,552,556,552|556
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1040,999,1082,1082|999
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,954,952,957,952|957
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1141,1133,1150,1150|1133
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,982,968,996,968|996
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,995,917,1074,1074|917
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,988,968,1008,968|1008
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1828,1793,1864,1864|1793
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,717,706,728,706|728
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,874,873,876,876|873
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1083,1071,1095,1071|1095
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,840,807,873,807|873
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,814,793,835,793|835
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,334,332,336,332|336
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,865,853,878,878|853
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,864,854,874,874|854
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3967,3810,4125,4125|3810
