path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4732,4179,5285,4179|5285
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3087,3076,3098,3098|3076
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1853,1774,1932,1774|1932
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5321,5319,5324,5319|5324
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1960,1758,2162,1758|2162
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2559,2549,2570,2549|2570
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1504,1460,1548,1548|1460
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1472,1424,1520,1520|1424
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1458,1442,1475,1475|1442
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1357,1324,1390,1390|1324
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2536,2474,2599,2599|2474
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,687,644,730,730|644
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,962,904,1020,904|1020
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,600,553,648,553|648
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1117,1114,1121,1114|1121
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1163,1144,1183,1144|1183
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1281,1254,1309,1254|1309
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1131,1114,1149,1149|1114
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1261,1224,1299,1299|1224
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1178,1148,1209,1148|1209
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2129,2036,2222,2036|2222
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,804,704,905,905|704
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1045,1013,1077,1077|1013
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1374,1292,1457,1292|1457
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,984,980,988,988|980
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1095,1042,1148,1148|1042
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,395,390,401,401|390
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1115,1048,1183,1183|1048
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,994,965,1024,1024|965
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4398,4276,4520,4520|4276
