path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4809,4071,5547,4071|5547
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3454,3382,3527,3382|3527
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,3022,3018,3026,3026|3018
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,8261,7992,8530,8530|7992
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2625,2537,2713,2713|2537
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,3392,3390,3395,3395|3390
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,2233,2174,2293,2293|2174
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,2170,2036,2304,2036|2304
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,2336,2291,2381,2291|2381
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1666,1656,1676,1656|1676
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,3087,2851,3323,3323|2851
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,901,876,927,876|927
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1187,1186,1188,1186|1188
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,760,737,783,737|783
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1357,1321,1393,1393|1321
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1361,1357,1366,1357|1366
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1424,1387,1461,1461|1387
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,944,941,948,948|941
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1042,1019,1065,1065|1019
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,951,936,967,936|967
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1824,1802,1846,1846|1802
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,711,693,729,729|693
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,876,867,886,867|886
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1156,1087,1225,1225|1087
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,844,829,859,859|829
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,864,861,868,861|868
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,332,331,334,334|331
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,824,816,832,832|816
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,833,818,849,849|818
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4082,3997,4167,4167|3997
