path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3834,3816,3853,3853|3816
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2557,2537,2578,2537|2578
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2347,2179,2516,2516|2179
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,6777,5992,7563,5992|7563
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2795,2689,2902,2902|2689
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,3826,3524,4129,4129|3524
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,2209,2124,2294,2294|2124
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,2057,1826,2289,2289|1826
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1678,1667,1690,1667|1690
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1161,1147,1176,1147|1176
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,3003,2673,3334,2673|3334
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,830,802,859,859|802
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1184,1173,1196,1196|1173
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,725,723,727,723|727
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1146,1134,1158,1158|1134
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1194,1155,1233,1155|1233
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1454,1431,1478,1478|1431
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1373,1367,1379,1379|1367
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1335,1325,1345,1325|1345
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1158,1130,1186,1130|1186
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2551,2537,2565,2537|2565
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,938,925,951,925|951
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1132,1080,1185,1185|1080
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1562,1472,1653,1653|1472
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,953,929,977,977|929
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1165,1163,1168,1168|1163
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,438,436,440,440|436
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1101,1014,1188,1188|1014
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1069,1065,1074,1065|1074
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,5050,4920,5180,5180|4920
