path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3626,3585,3668,3585|3668
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2303,2297,2309,2309|2297
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1491,1458,1524,1524|1458
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4055,3981,4130,4130|3981
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1454,1444,1465,1444|1465
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1674,1663,1685,1663|1685
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1111,1091,1132,1091|1132
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1131,1113,1149,1149|1113
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1110,1077,1143,1143|1077
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1156,1054,1259,1054|1259
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2091,2089,2094,2089|2094
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,616,601,632,601|632
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,855,853,858,853|858
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,459,455,464,464|455
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,884,870,898,898|870
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,819,814,825,814|825
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,959,940,979,979|940
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,892,844,941,844|941
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,923,848,998,848|998
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,893,882,905,905|882
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1626,1615,1638,1615|1638
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,673,636,711,711|636
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,753,740,766,740|766
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1105,1020,1190,1020|1190
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,780,716,845,845|716
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,716,696,737,737|696
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,302,279,326,279|326
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,815,726,905,726|905
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,989,921,1057,1057|921
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4546,4226,4867,4226|4867
