path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4210,3858,4563,3858|4563
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2787,2748,2827,2827|2748
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2638,2607,2669,2607|2669
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,7174,6927,7422,6927|7422
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2579,2532,2626,2532|2626
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2949,2936,2962,2936|2962
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,2215,2155,2276,2155|2276
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,2134,2101,2168,2101|2168
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,2083,1959,2208,2208|1959
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1558,1548,1568,1548|1568
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,3071,2946,3197,2946|3197
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,847,844,850,850|844
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1140,1094,1186,1186|1094
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,673,655,691,655|691
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1304,1272,1336,1272|1336
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1286,1276,1296,1276|1296
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1479,1444,1514,1514|1444
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1164,1142,1187,1142|1187
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1194,1116,1273,1116|1273
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1316,1305,1327,1327|1305
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2392,2381,2404,2404|2381
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,784,753,815,815|753
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1015,886,1144,886|1144
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1476,1388,1565,1565|1388
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,1069,1069,1070,1070|1069
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1065,1051,1079,1051|1079
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,513,509,517,517|509
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1042,1024,1060,1060|1024
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1123,1062,1184,1184|1062
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4805,4411,5200,5200|4411
