path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5088,4507,5669,5669|4507
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3008,2894,3123,3123|2894
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2764,2507,3022,3022|2507
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,8811,7932,9690,9690|7932
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2477,2256,2699,2256|2699
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2826,2560,3092,3092|2560
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1861,1780,1942,1942|1780
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1823,1793,1854,1793|1854
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1788,1767,1810,1810|1767
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1287,1222,1352,1352|1222
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2645,2527,2763,2527|2763
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,763,744,782,782|744
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1116,1101,1131,1131|1101
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,573,568,579,579|568
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1375,1270,1481,1270|1481
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1084,1060,1109,1060|1109
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1532,1527,1537,1527|1537
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1357,1326,1389,1326|1389
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1246,1207,1286,1286|1207
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1139,1135,1143,1143|1135
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2135,2025,2245,2245|2025
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,705,701,709,709|701
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,853,851,856,851|856
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1160,1147,1174,1147|1174
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,814,813,816,816|813
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,863,792,935,792|935
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,349,314,385,314|385
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,879,807,952,952|807
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,858,809,908,809|908
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4734,4453,5016,5016|4453
