path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3714,3641,3787,3787|3641
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2393,2293,2493,2293|2493
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1698,1630,1767,1630|1767
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4217,4182,4252,4252|4182
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1457,1421,1493,1493|1421
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2011,1969,2053,1969|2053
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1186,1160,1212,1212|1160
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1230,1181,1280,1280|1181
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1213,1161,1266,1161|1266
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1037,1028,1046,1028|1046
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2249,2240,2259,2259|2240
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,549,538,561,538|561
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,915,886,944,886|944
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,507,492,523,523|492
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,879,848,911,848|911
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,841,800,883,883|800
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1042,959,1126,959|1126
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,898,851,946,851|946
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1020,972,1068,1068|972
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,880,862,899,862|899
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1670,1612,1729,1729|1612
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,686,644,729,644|729
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,743,742,745,742|745
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1077,1027,1127,1027|1127
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,735,735,735,735|735
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,712,712,712,712|712
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,362,358,366,358|366
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,774,751,797,751|797
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,909,887,932,932|887
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4339,4005,4674,4674|4005
