path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata/web-samples/samples/xls/000034-2.xls,.xls,true,false,252845,0,,,1698,1657,1862,1657|1698|1862
testdata/web-samples/samples/xls/000034.xls,.xls,true,false,252845,0,,,1912,1652,2056,2056|1912|1652
testdata/web-samples/samples/xls/000051.xls,.xls,true,false,8549,0,,,60,58,60,60|60|58
testdata/web-samples/samples/xls/000055.xls,.xls,true,false,259779,0,,,2268,2135,2380,2268|2380|2135
testdata/web-samples/samples/xls/001138.xls,.xls,true,false,283467,0,,,1246,1182,1332,1182|1246|1332
testdata/web-samples/samples/xls/003995.xls,.xls,true,false,57996,0,,,78,78,82,82|78|78
testdata/web-samples/samples/xls/004703.xls,.xls,true,false,99952,0,,,377,318,387,318|377|387
testdata/web-samples/samples/xls/006086.xls,.xls,true,false,284297,0,,,1427,1426,1575,1427|1575|1426
testdata/web-samples/samples/xls/006087.xls,.xls,true,false,290195,0,,,1502,1451,1515,1502|1451|1515
testdata/web-samples/samples/xls/006812.xls,.xls,true,false,115945,0,,,139,131,147,139|131|147
testdata/web-samples/samples/xls/007260.xls,.xls,true,false,316526,0,,,708,652,718,652|718|708
testdata/web-samples/samples/xls/009715.xls,.xls,true,false,14820,0,,,28,23,30,28|30|23
testdata/web-samples/samples/xls/009933.xls,.xls,true,false,1480,0,,,4,4,6,4|4|6
testdata/web-samples/samples/xls/010276.xls,.xls,true,false,17790,0,,,19,19,21,19|21|19
testdata/web-samples/samples/xls/010480.xls,.xls,true,false,6872,0,,,88,79,91,88|91|79
testdata/web-samples/samples/xls/010701.xls,.xls,true,false,1026,0,,,1,1,2,1|1|2
testdata/web-samples/samples/xls/014479.xls,.xls,true,false,213123,0,,,797,739,846,797|739|846
testdata/web-samples/samples/xls/015300.xls,.xls,true,false,64438,0,,,161,156,169,156|161|169
testdata/web-samples/samples/xls/018541.xls,.xls,true,false,47719,0,,,85,84,107,107|84|85
testdata/web-samples/samples/xls/022223.xls,.xls,true,false,266055,0,,,2005,1865,2246,2246|2005|1865
testdata/web-samples/samples/xls/022230.xls,.xls,true,false,124330,0,,,82,77,92,77|82|92
testdata/web-samples/samples/xls/022238.xls,.xls,true,false,15720,0,,,24,23,28,28|24|23
testdata/web-samples/samples/xls/022239.xls,.xls,true,false,123154,0,,,56,56,64,56|56|64
testdata/web-samples/samples/xls/022241.xls,.xls,true,false,19078,0,,,13,12,14,14|13|12
