path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5186,4698,5675,4698|5675
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3507,3390,3625,3390|3625
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,3136,3132,3141,3141|3132
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,7705,7672,7739,7672|7739
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2796,2751,2841,2841|2751
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,3346,3322,3371,3371|3322
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,2365,2334,2396,2396|2334
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,2292,2236,2349,2349|2236
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,2667,2451,2884,2451|2884
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1633,1591,1675,1675|1591
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2969,2860,3078,3078|2860
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,800,755,846,755|846
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1380,1261,1500,1261|1500
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,791,736,847,847|736
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1451,1402,1501,1402|1501
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1240,1212,1268,1212|1268
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1619,1520,1719,1719|1520
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1375,1371,1379,1371|1379
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1367,1341,1393,1341|1393
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1054,1000,1109,1109|1000
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2405,2275,2535,2275|2535
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,962,958,966,958|966
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1222,1193,1251,1193|1251
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1546,1467,1625,1467|1625
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,1175,1164,1186,1186|1164
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1240,1219,1262,1219|1262
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,461,443,479,443|479
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1146,1142,1150,1150|1142
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1186,1180,1192,1180|1192
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4916,4859,4973,4859|4973
