path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5667,5274,6060,5274|6060
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3455,3336,3575,3575|3336
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,3151,3082,3221,3221|3082
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,7640,7634,7646,7646|7634
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2654,2531,2777,2777|2531
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2358,2322,2394,2322|2394
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1666,1656,1677,1677|1656
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1686,1646,1727,1727|1646
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1677,1664,1690,1664|1690
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1187,1179,1195,1195|1179
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2350,2314,2387,2387|2314
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,637,625,649,625|649
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,893,886,900,886|900
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,532,528,536,536|528
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,975,956,994,994|956
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,890,863,917,863|917
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1051,1017,1086,1017|1086
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,924,913,935,935|913
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1033,1030,1037,1037|1030
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,899,896,902,902|896
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1697,1645,1749,1749|1645
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,710,654,766,654|766
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,797,776,819,819|776
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1527,1123,1932,1123|1932
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,1017,875,1160,1160|875
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1089,1085,1093,1093|1085
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,475,463,488,488|463
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1276,1207,1346,1207|1346
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1058,1055,1061,1055|1061
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,5108,4747,5469,5469|4747
