path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5287,4440,6135,4440|6135
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,4022,3537,4507,3537|4507
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,4549,3898,5200,5200|3898
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,8323,7907,8740,8740|7907
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2976,2891,3062,2891|3062
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,5673,5337,6009,5337|6009
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,2422,2391,2453,2391|2453
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,2622,2591,2653,2653|2591
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,2734,2719,2749,2719|2749
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1782,1764,1801,1801|1764
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,3226,3107,3345,3345|3107
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,855,821,889,821|889
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1160,1138,1182,1182|1138
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,709,702,716,702|716
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1326,1303,1350,1303|1350
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1260,1208,1312,1312|1208
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1557,1494,1621,1621|1494
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1245,1233,1257,1233|1257
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1156,1079,1234,1234|1079
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,945,944,946,946|944
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1805,1798,1813,1798|1813
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,695,685,705,705|685
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,875,873,878,873|878
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1156,1131,1182,1182|1131
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,827,797,857,797|857
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,875,874,876,876|874
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,346,341,352,352|341
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,879,874,884,874|884
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,884,880,889,889|880
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4169,4033,4305,4305|4033
