path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5571,4427,6716,4427|6716
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2695,2691,2699,2699|2691
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2420,2329,2512,2512|2329
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5820,5778,5863,5863|5778
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2174,2154,2195,2195|2154
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2459,2458,2461,2458|2461
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1813,1767,1860,1767|1860
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1724,1715,1733,1715|1733
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1743,1736,1751,1736|1751
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1276,1232,1320,1320|1232
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2471,2434,2508,2508|2434
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,653,643,663,663|643
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,898,897,900,897|900
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,539,529,549,549|529
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1039,1018,1060,1018|1060
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,977,960,995,995|960
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1142,1123,1162,1162|1123
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,973,957,990,957|990
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1051,1033,1069,1069|1033
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,996,987,1005,987|1005
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1906,1873,1940,1940|1873
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,754,747,761,747|761
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,916,911,921,921|911
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1198,1162,1234,1234|1162
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,815,808,823,823|808
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,854,828,881,828|881
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,333,333,333,333|333
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,891,871,911,911|871
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,878,852,905,852|905
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4143,3969,4318,4318|3969
