path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3885,3796,3975,3975|3796
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2616,2608,2624,2624|2608
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2282,2277,2287,2277|2287
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5763,5657,5870,5657|5870
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2177,2152,2202,2152|2202
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2491,2459,2523,2523|2459
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1722,1712,1733,1712|1733
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1685,1673,1697,1697|1673
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1765,1739,1791,1791|1739
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1156,1134,1179,1179|1134
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2377,2288,2466,2466|2288
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,610,599,622,622|599
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,864,857,872,872|857
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,548,538,559,538|559
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,941,932,950,950|932
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,908,863,953,953|863
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1108,1103,1113,1103|1113
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,974,972,977,977|972
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1023,1016,1031,1031|1016
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,917,904,931,931|904
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1773,1747,1799,1799|1747
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,705,691,719,691|719
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,876,876,877,876|877
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1155,1141,1169,1141|1169
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,894,888,900,888|900
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,875,870,880,880|870
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,312,307,317,307|317
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,824,823,826,823|826
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,838,825,852,825|852
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3918,3707,4130,4130|3707
