path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3862,3833,3892,3833|3892
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2471,2468,2475,2468|2475
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2339,2275,2403,2403|2275
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,6039,5809,6270,6270|5809
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1719,1708,1731,1708|1731
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2702,2693,2711,2693|2711
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1566,1542,1590,1542|1590
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1669,1655,1684,1655|1684
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1714,1707,1721,1707|1721
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1184,1178,1191,1178|1191
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2353,2342,2364,2364|2342
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,633,625,641,625|641
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,902,893,912,912|893
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,546,543,550,543|550
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,995,974,1017,1017|974
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,901,900,902,902|900
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1001,998,1004,1004|998
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,988,961,1015,961|1015
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1032,982,1083,1083|982
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,932,928,937,937|928
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1854,1828,1880,1828|1880
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,730,713,748,748|713
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,870,867,874,874|867
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1114,1107,1121,1121|1107
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,774,768,780,780|768
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,782,748,816,748|816
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,341,340,343,340|343
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,863,861,865,861|865
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,887,886,888,888|886
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4009,3883,4136,4136|3883
