path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3839,3812,3867,3867|3812
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2521,2521,2522,2521|2522
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1751,1735,1767,1767|1735
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4970,4580,5360,4580|5360
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1693,1575,1811,1811|1575
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2990,2058,3922,3922|2058
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1410,1353,1468,1468|1353
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1372,1351,1394,1351|1394
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1471,1387,1555,1555|1387
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1226,1216,1236,1236|1216
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2347,2343,2352,2352|2343
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,618,614,622,614|622
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,856,855,858,855|858
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,530,522,539,539|522
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,994,988,1001,988|1001
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,918,916,920,916|920
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1080,1072,1088,1088|1072
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,949,938,960,960|938
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,992,943,1042,943|1042
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,960,943,978,943|978
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1898,1884,1912,1884|1912
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,784,722,846,722|846
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,865,848,883,848|883
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1333,1146,1521,1146|1521
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,1395,1325,1465,1325|1465
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1337,1116,1558,1558|1116
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,426,403,449,449|403
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1198,1168,1228,1228|1168
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1221,1185,1258,1258|1185
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,5325,5078,5573,5573|5078
