path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5170,4709,5632,4709|5632
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3466,3441,3492,3441|3492
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,3237,3210,3265,3265|3210
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,8015,7799,8231,7799|8231
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2959,2919,3000,3000|2919
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,3489,3487,3492,3487|3492
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,2916,2543,3289,3289|2543
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,2484,2413,2555,2555|2413
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,2387,2316,2459,2316|2459
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1472,1452,1492,1452|1492
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,3423,3307,3540,3307|3540
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,730,717,744,744|717
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1132,1113,1152,1152|1113
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,668,654,682,654|682
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1395,1369,1422,1422|1369
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1189,1176,1203,1203|1176
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1299,1256,1342,1342|1256
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1371,1353,1390,1353|1390
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1426,1389,1463,1389|1463
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1150,1133,1168,1168|1133
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2381,2352,2411,2352|2411
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,1044,1040,1049,1040|1049
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1059,993,1125,1125|993
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1609,1419,1799,1419|1799
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,1180,1165,1195,1165|1195
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1145,1079,1212,1212|1079
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,458,453,463,463|453
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1212,1199,1225,1199|1225
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1141,1094,1188,1094|1188
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,5314,5042,5586,5586|5042
