path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5754,4434,7074,4434|7074
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3520,3513,3527,3513|3527
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,3276,3202,3350,3202|3350
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,7778,7548,8008,8008|7548
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2889,2876,2902,2902|2876
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,3389,3373,3405,3405|3373
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,2477,2453,2502,2502|2453
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,2474,2407,2542,2407|2542
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,3124,3000,3248,3248|3000
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1735,1652,1819,1652|1819
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2985,2697,3273,3273|2697
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,907,855,960,960|855
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1297,1281,1313,1313|1281
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,695,676,714,676|714
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1255,1102,1409,1409|1102
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1071,1059,1084,1059|1084
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1599,1494,1705,1494|1705
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1426,1385,1467,1385|1467
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1182,1178,1187,1187|1178
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1288,1238,1338,1238|1338
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2471,2350,2592,2592|2350
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,807,799,816,816|799
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1032,999,1066,999|1066
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1624,1617,1631,1631|1617
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,1069,1012,1126,1012|1126
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1065,996,1135,996|1135
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,413,413,413,413|413
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1126,1053,1199,1053|1199
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1145,1111,1180,1111|1180
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,5460,5245,5676,5676|5245
