path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4194,3604,4784,3604|4784
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3253,3199,3308,3308|3199
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1960,1916,2004,2004|1916
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4931,4920,4943,4920|4943
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1847,1825,1870,1870|1825
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2186,2168,2204,2204|2168
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1352,1304,1400,1400|1304
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1449,1446,1453,1446|1453
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1435,1425,1445,1425|1445
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1394,1367,1421,1421|1367
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2738,2716,2760,2760|2716
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,758,751,765,765|751
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1037,1036,1039,1036|1039
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,612,601,624,601|624
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1148,1122,1175,1122|1175
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1065,1022,1109,1022|1109
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1284,1264,1305,1264|1305
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1223,1202,1244,1202|1244
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1189,1183,1196,1196|1183
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1160,1129,1191,1191|1129
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1975,1895,2055,1895|2055
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,811,802,820,820|802
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1004,978,1030,1030|978
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1357,1328,1386,1386|1328
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,975,938,1012,1012|938
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,955,936,975,975|936
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,397,394,401,401|394
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,1027,983,1071,1071|983
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,991,963,1020,963|1020
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4847,4817,4877,4877|4817
