path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3913,3868,3958,3958|3868
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2751,2629,2873,2873|2629
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2428,2420,2436,2436|2420
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,7303,6445,8162,8162|6445
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2327,2319,2336,2319|2336
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2719,2696,2742,2696|2742
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1910,1851,1969,1969|1851
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1958,1936,1981,1981|1936
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1913,1890,1937,1937|1890
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1373,1136,1611,1136|1611
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2465,2367,2563,2367|2563
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,628,596,661,596|661
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1003,1002,1004,1002|1004
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,555,546,565,565|546
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1044,1009,1080,1009|1080
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,926,888,964,964|888
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1130,1064,1196,1064|1196
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,924,923,926,926|923
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1138,1026,1250,1250|1026
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1014,948,1081,948|1081
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1783,1739,1827,1827|1739
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,731,673,790,673|790
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,900,827,974,974|827
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1145,1087,1204,1204|1087
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,794,776,812,812|776
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,841,837,845,837|845
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,368,323,414,323|414
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,992,940,1045,940|1045
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1683,1589,1777,1589|1777
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4505,4239,4771,4771|4239
