path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4089,3670,4443,3670|4089|4443
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2946,2886,2989,2946|2886|2989
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1666,1657,1752,1752|1666|1657
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4473,4349,4547,4473|4349|4547
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1651,1611,1915,1611|1651|1915
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1983,1925,2198,2198|1983|1925
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1260,1258,1332,1258|1332|1260
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1062,1033,1120,1120|1033|1062
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1142,1089,1167,1167|1142|1089
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1036,1026,1121,1121|1026|1036
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2090,2043,2123,2090|2043|2123
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,568,560,577,577|560|568
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,801,766,885,885|801|766
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,487,486,493,487|493|486
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,853,841,862,841|862|853
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,818,816,830,816|818|830
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,949,932,1002,949|932|1002
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,840,817,860,860|817|840
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,893,875,898,893|898|875
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,840,815,872,872|840|815
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1624,1588,1744,1624|1588|1744
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,705,675,711,705|675|711
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,770,756,798,756|770|798
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1037,1031,1102,1037|1102|1031
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,720,703,743,720|743|703
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,714,703,727,714|703|727
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,287,274,300,300|274|287
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,732,706,793,793|732|706
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,720,718,724,720|718|724
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3655,3612,4358,4358|3612|3655
