path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4624,4495,4800,4800|4495|4624
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2961,2940,2964,2940|2964|2961
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1794,1766,1835,1794|1766|1835
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5096,4907,5202,5202|4907|5096
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1795,1783,1804,1804|1783|1795
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2186,2056,2222,2222|2056|2186
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1398,1361,1433,1398|1433|1361
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1261,1208,1298,1208|1298|1261
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1207,1189,1258,1189|1207|1258
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1283,1283,1367,1367|1283|1283
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2665,2593,2724,2665|2724|2593
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,745,712,763,712|745|763
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,965,955,1037,965|955|1037
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,641,636,690,641|636|690
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1186,1064,1239,1239|1064|1186
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1098,1077,1123,1123|1098|1077
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1268,1236,1296,1236|1268|1296
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1132,1056,1168,1132|1168|1056
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1147,1065,1208,1065|1147|1208
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1142,1134,1162,1162|1134|1142
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2196,2115,2251,2196|2115|2251
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,829,826,861,829|826|861
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1039,1027,1077,1039|1077|1027
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1336,1304,1408,1408|1304|1336
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,949,945,981,981|945|949
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,933,900,945,945|900|933
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,381,365,402,381|402|365
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,971,890,1019,890|971|1019
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1016,964,1034,1016|1034|964
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4438,4345,4587,4587|4345|4438
