path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3816,3781,4142,3816|4142|3781
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2398,2392,2415,2392|2415|2398
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1409,1381,1463,1463|1381|1409
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4013,4010,4017,4017|4010|4013
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1583,1524,1701,1583|1524|1701
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,1748,1672,1976,1976|1748|1672
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1092,1069,1099,1069|1092|1099
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,933,922,935,935|933|922
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,947,909,1134,947|1134|909
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1061,1041,1087,1061|1087|1041
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2067,2028,2104,2067|2104|2028
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,570,528,574,570|574|528
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,801,773,821,821|801|773
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,486,475,488,475|486|488
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,869,847,893,847|869|893
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1001,781,1109,781|1001|1109
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1259,1021,1326,1326|1259|1021
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,868,812,880,868|812|880
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,870,869,920,869|920|870
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,855,847,880,855|847|880
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1671,1652,1714,1714|1652|1671
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,769,733,781,769|781|733
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,741,734,792,734|792|741
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1008,990,1044,990|1008|1044
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,721,692,762,721|692|762
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,778,716,780,778|780|716
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,295,292,301,295|301|292
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,735,720,787,735|720|787
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,826,722,884,826|884|722
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3396,3142,3582,3582|3396|3142
