path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3951,3853,4049,4049|3853
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2621,2615,2627,2615|2627
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2271,2253,2290,2290|2253
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5381,5295,5467,5467|5295
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2187,2163,2211,2211|2163
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2340,2337,2343,2343|2337
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1919,1876,1962,1876|1962
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1790,1771,1809,1809|1771
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1754,1754,1754,1754|1754
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1193,1178,1208,1208|1178
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2375,2334,2416,2334|2416
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,645,634,657,657|634
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,922,920,925,920|925
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,541,516,566,516|566
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1014,999,1029,999|1029
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,957,931,983,983|931
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1166,1094,1239,1094|1239
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,994,985,1003,985|1003
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1015,1010,1021,1021|1010
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,946,929,963,963|929
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2273,1975,2572,1975|2572
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,1280,1111,1450,1450|1111
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,878,862,895,862|895
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1298,1222,1374,1222|1374
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,949,878,1020,1020|878
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,841,833,849,833|849
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,342,340,345,340|345
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,874,834,915,834|915
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,840,839,841,839|841
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4102,4048,4157,4157|4048
