path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4935,4275,5595,4275|5595
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3557,3539,3576,3539|3576
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,3126,3122,3130,3130|3122
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,8146,8061,8232,8232|8061
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,3095,2860,3330,3330|2860
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,3331,3172,3490,3172|3490
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,3045,2658,3433,2658|3433
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,2428,2393,2464,2393|2464
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,2175,2062,2288,2288|2062
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1554,1539,1570,1539|1570
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,3127,3092,3163,3163|3092
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,859,850,868,850|868
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1025,1004,1046,1046|1004
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,620,607,634,607|634
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1175,1162,1188,1162|1188
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1084,991,1178,1178|991
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1286,1233,1339,1233|1339
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1220,1149,1292,1292|1149
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1151,1148,1155,1148|1155
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1139,1107,1171,1171|1107
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2186,2137,2236,2236|2137
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,708,696,721,696|721
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,896,856,937,856|937
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1181,1117,1246,1246|1117
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,850,831,869,831|869
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,863,847,880,847|880
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,350,346,355,355|346
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,870,870,871,871|870
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,780,775,785,785|775
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4136,3876,4396,4396|3876
