path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3661,3554,3661,3554|3661
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2462,2405,2462,2405|2462
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2338,2121,2338,2121|2338
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,6887,5415,6887,6887|5415
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2081,2073,2081,2081|2073
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2877,2462,2877,2877|2462
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1720,1552,1720,1720|1552
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1631,1597,1631,1597|1631
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1604,1559,1604,1604|1559
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1088,1046,1088,1046|1088
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2226,2206,2226,2226|2206
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,643,578,643,643|578
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,793,779,793,793|779
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,477,469,477,469|477
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,907,857,907,857|907
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,825,814,825,825|814
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,966,962,966,966|962
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,930,839,930,930|839
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,918,874,918,918|874
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,852,846,852,852|846
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1649,1606,1649,1649|1606
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,645,627,645,645|627
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,839,745,839,745|839
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1022,1009,1022,1022|1009
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,744,723,744,744|723
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,752,717,752,717|752
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,298,290,298,298|290
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,741,713,741,713|741
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,719,718,719,719|718
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3949,3606,3949,3949|3606
