path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4175,4074,4276,4276|4074
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2578,2538,2618,2618|2538
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2307,2279,2335,2335|2279
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5963,5784,6143,5784|6143
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2418,2393,2444,2444|2393
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,3127,2695,3559,2695|3559
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,2800,2294,3307,3307|2294
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,2236,1881,2591,2591|1881
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1788,1758,1819,1819|1758
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1233,1212,1254,1254|1212
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2508,2468,2548,2468|2548
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,625,619,631,631|619
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,870,850,890,850|890
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,541,534,548,548|534
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1162,1104,1220,1104|1220
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1273,1268,1279,1279|1268
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1541,1464,1618,1618|1464
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1243,1230,1257,1257|1230
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1349,1321,1378,1321|1378
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1262,1210,1314,1314|1210
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,2399,2263,2535,2535|2263
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,832,818,847,847|818
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,868,854,883,883|854
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1157,1145,1169,1169|1145
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,816,812,821,812|821
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,856,855,857,855|857
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,330,329,332,329|332
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,848,846,850,850|846
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,845,829,861,829|861
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4058,3914,4202,4202|3914
